"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1",,
"Helsinki","Vallilan perhepuisto/lasten kahluuallas",6677994,3387071,"60.197842333","24.960754621"
"Helsinki","Pohjoisrannan venesatama",6675036,3387036,"60.171300284","24.961770015"
"Helsinki","Katajanokan vierassatama",6674809,3387124,"60.169288521","24.963480368"
"Helsinki","Valkosaaren venesatama",6673915,3387098,"60.161262386","24.963508843"
"Helsinki","Katajanokan venesatama",6674796,3387255,"60.169208145","24.965845830"
"Oulainen","Honkarannan hiihtokeskus",7134455,3402032,"64.295144752","24.972677889"
"Helsinki","Siltamäen aluepuisto/lasten kahluuallas",6686592,3388776,"60.275433716","24.986746804"
"Helsinki","Siltalanpuisto/lasten kahluuallas",6685644,3388826,"60.266944081","24.988172163"
"Helsinki","Säveltäjänpuisto/lasten kahluuallas",6683222,3388853,"60.245226657","24.989992417"
"Tuusula","Metsäpirtin leirikeskus",6703465,3389486,"60.426972695","24.990274804"
"Helsinki","Tapaninvainion aluep./lasten kahluuallas",6684905,3389003,"60.260363812","24.991774350"
"Helsinki","Mustikkamaan venesatama",6676233,3388915,"60.182553351","24.994943526"
"Helsinki","Ylä-Malmin leikkip./lasten kahluuallas",6683934,3389206,"60.251709522","24.995971556"
"Helsinki","Pihlajamäen laskettelurinne/k 25",6682124,3389297,"60.235498893","24.998605009"
"Helsinki","Salpausselän leikkip./lasten kahluuallas",6681729,3389606,"60.232039768","25.004394477"
"Helsinki","Kiillepuisto/lasten kahluuallas",6681954,3389650,"60.234069934","25.005065368"
"Tammisaari","Campingens simplats",6655661,3301781,"59.965250504","23.447261757"
"Somero","Etappimajan rata",6737273,3307072,"60.698880311","23.463486864"
"Tammisaari","Dragsvik simplats",6657701,3304474,"59.984814701","23.493447796"
"Tammisaari","Baggby skidskyttebana",6659933,3305052,"60.005085377","23.501669128"
"Alavus","Vetämäjärven leirikeskus",6952650,3321473,"62.634880965","23.515699023"
"Tammisaari","Langansböle simplats",6657433,3306201,"59.983231095","23.524578263"
"Karjaa","Svedja simplats",6663972,3310750,"60.043937856","23.599898070"
"Somero","Jorrin rata",6732790,3314845,"60.662395174","23.609780240"
"Lappajärvi","Uimapaikka nykälä",7020505,3331614,"63.247408331","23.644062560"
"Karjaa","Bastsjö simplats",6675348,3315210,"60.147904308","23.669514339"
"Karjaa","Pumpvikens simplats",6667406,3315221,"60.076746210","23.676898007"
"Ylitornio","Aavasaksan urheilijoiden hiihtokeskus",7362487,3351877,"66.319180276","23.691285427"
"Ylitornio","Aavasaksan kisan hiihtokeskus",7364727,3352942,"66.339737776","23.712375258"
"Karjalohja","Uimapaikka",6686647,3319433,"60.251040677","23.735358369"
"Ylitornio","Aavasaksan laskettelurinne",7370328,3354503,"66.390615709","23.740650543"
"Tampere","Mältinrannan talviuintipaikka",6826154,3327471,"61.504595160","23.755714308"
"Vimpeli","Uimapaikka/Rantakylä",7010866,3337508,"63.163786927","23.770830747"
"Vimpeli","Uimapaikka/Rinne",7012793,3337618,"63.181097078","23.771087829"
"Karjaa","Bråtans simplats",6678888,3322193,"60.182726344","23.791925912"
