"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1",,
"Metsähallitus","Annagurra Koulunlampi nuotiokehikko",7757342,3499856,"69.894474498","26.991792152"
"Metsähallitus","Turpeinen, laavu",7270790,3579992,"65.522200963","28.725895101"
"Metsähallitus","Heinijoki laavu",7189010,3537119,"64.796497171","27.777274157"
"Metsähallitus","Heinijoki tulentekopaikka",7189010,3537123,"64.796496731","27.777358299"
"Metsähallitus","Kuirivaara laavu",7201408,3541934,"64.907121771","27.882192565"
"Metsähallitus","Kuirivaara tulentekopaikka",7201398,3541933,"64.907032214","27.882168498"
"Metsähallitus","Hautalampi puolikota",7188585,3526800,"64.793662406","27.560120609"
"Metsähallitus","Hautalampi tulentekopaikka",7188587,3526800,"64.793680344","27.560120981"
"Metsähallitus","Kirkaslampi tulentekopaikka",7188764,3525875,"64.795339938","27.540696052"
"Metsähallitus","Hangassalmenaho laavu",7306037,3420052,"65.838088311","25.246342878"
"Metsähallitus","Martimojärvi tulipaikka",7305134,3417383,"65.829314612","25.188529735"
"Metsähallitus","Koivuselkä tuentekopaikka",7306951,3415572,"65.845127836","25.147756902"
"Metsähallitus","Kivalot P-alue tulipaikka",7311113,3411560,"65.881345708","25.057159437"
"Metsähallitus","Paskolampi laavu",7108275,3492797,"64.074267742","26.848875536"
"Metsähallitus","Niemijärvi laavu",7084936,3589389,"63.853615778","28.813986570"
"Metsähallitus","IsoSomero laavu",7270968,3604355,"65.516894065","29.252383001"
"Metsähallitus","Alimmainen Luujärvi laavu",7295862,3428818,"65.748945136","25.443635558"
"Metsähallitus","Alimmainen Luujärvi tulipaikka",7295866,3428828,"65.748983217","25.443851416"
"Metsähallitus","Värikallio kota",7270626,3606938,"65.512990501","29.307900938"
"Metsähallitus","Ylimmäinen Luujärvi laavu",7297913,3428145,"65.767182001","25.427843946"
"Metsähallitus","Lihapyörre laavu",7270217,3609083,"65.508613393","29.353890827"
"Metsähallitus","Ylimmäinen luujärvi tulipaikka",7297914,3428152,"65.767192536","25.427996120"
"Metsähallitus","Siikaniva tulentekopaikka",7186024,3639947,"64.742696743","29.935466290"
"Metsähallitus","Kivijärvenkoskien tulentekopaikka",7182987,3643712,"64.713908979","30.011377071"
"Metsähallitus","Murhijärvi tulentekopaikka",7180610,3644454,"64.692301249","30.024539503"
"Metsähallitus","Seitenahveninen laavu",7196669,3590457,"64.855049029","28.903707534"
"Metsähallitus","Hietakangas tulentekopaikka",7196443,3590512,"64.853008236","28.904723110"
"Metsähallitus","Puukkojärvi laavu",7268484,3611953,"65.492109992","29.414418516"
"Metsähallitus","Suottajärvi tulentekopaikka",7268442,3612469,"65.491555853","29.425516869"
"Metsähallitus","Huosilampi tulentekopaikka",7265725,3616486,"65.465799554","29.509843558"
"Metsähallitus","Syväjärven kota Säynäjäsuo",7190185,3597977,"64.794816487","29.057709793"
"Metsähallitus","Huosilampi invalaavu",7265963,3616538,"65.467913449","29.511168979"
"Metsähallitus","Keihäslampi tulentekopaikka",7265449,3616434,"65.463345166","29.508485715"
"Metsähallitus","Huosivirta tulentekopaikka",7266365,3614360,"65.472286798","29.464560466"
"Metsähallitus","Torkonluikea tulentekopaikka",7266778,3614080,"65.476085536","29.458871749"
"Metsähallitus","Hakokoski laavu",7267620,3613214,"65.483932235","29.440902677"
"Metsähallitus","Pieni-Hossalaislampi tulentekopaikka",7267848,3611635,"65.486520178","29.407032351"
"Metsähallitus","UmpiValkeinen tulentekopaikka nro 2",7268690,3610889,"65.494319947","29.391629918"
"Metsähallitus","UmpiValkeinen tulentekopaikka nro 3",7268798,3611236,"65.495169352","29.399206461"
"Metsähallitus","Pitkä-Hoilua tulentekopaikka 1",7267065,3611425,"65.479575851","29.401857632"
"Metsähallitus","Lipposenlampi tulentekopaikka",7264306,3609699,"65.455438176","29.362400214"
"Metsähallitus","Kokalmus laavu",7264131,3608803,"65.454170054","29.342953606"
"Metsähallitus","Kokalmus tulentekopaikka",7264970,3609578,"65.461428950","29.360329505"
"Metsähallitus","Lipposensalmi laavu",7264066,3609918,"65.453213827","29.366924531"
"Metsähallitus","Lounaja tulentekopaikka",7263733,3610599,"65.449999707","29.381325136"
"Metsähallitus","Lounaja tulentekopaikka 2",7263146,3609699,"65.445043414","29.361462622"
"Metsähallitus","Joukovirta laavu",7260200,3607686,"65.419313788","29.315770752"
"Metsähallitus","Nimettömänkoski tulentekopaikka",7260216,3604739,"65.420415068","29.252367126"
"Metsähallitus","Syrjäsalmi laavu",7260414,3605082,"65.422079358","29.259901299"
"Metsähallitus","Julmanlammin tulentekopaikka",7208477,3565542,"64.966720964","28.384024646"
"Metsähallitus","Kirkasvetinen tulentekopaikka nro 1",7268593,3609345,"65.493972864","29.358233581"
"Metsähallitus","Kirkasvetinen tulentekopaikka nro 2",7268373,3609317,"65.492010850","29.357451538"
"Metsähallitus","Pysäköintialue",7161258,3476103,"64.548750369","26.498237144"
"Metsähallitus","Aittojärvi tulentekopaikka",7263724,3603671,"65.452193791","29.232059939"
"Metsähallitus","AlaÖlkky laavu",7271449,3607393,"65.520215708","29.318381543"
"Metsähallitus","Kangaslampi laavu",7268729,3613730,"65.493689544","29.452964633"
"Metsähallitus","Muikkupuro laavu",7266998,3610689,"65.479226324","29.385929998"
"Metsähallitus","Aittojoki tulentekopaikka",7262328,3604224,"65.439507015","29.242903347"
"Metsähallitus","Leveänkoski taukokatos",7259829,3618273,"65.412329317","29.543224267"
"Metsähallitus","Alakoski kota",7256523,3619186,"65.382376787","29.559970646"
"Metsähallitus","Saukuusikko tulipaikka",7510728,3617479,"67.660128010","29.765194537"
"Metsähallitus","Hevonperse laavu",7258141,3598166,"65.403858459","29.109409322"
"Metsähallitus","Piimäkuru puolikota",7504386,3617816,"67.603196226","29.766455940"
"Metsähallitus","Peurahaara tulipaikka",7506018,3617255,"67.618036031","29.754987813"
"Metsähallitus","Kallioinen laavu",7269703,3561574,"65.516460989","28.327306005"
"Metsähallitus","Pirinkoski kota",7273082,3545898,"65.549346917","27.989659902"
"Metsähallitus","Tervajärvi laavu",7260385,3563649,"65.432516450","28.367771777"
"Metsähallitus","Selkä-Sarvi tuentekopaikka",7282960,3370930,"65.615311254","24.194989140"
"Metsähallitus","Kälkäjä kota",7260465,3575580,"65.430692325","28.624786339"
"Metsähallitus","Syvöojansuu laavu",7299442,3563357,"65.782753590","28.379938941"
"Metsähallitus","Tilsa kota",7262437,3549479,"65.453368180","28.063259625"
"Metsähallitus","Ahma, laavu",7294054,3563528,"65.734412867","28.381086343"
"Metsähallitus","Korvuanjärvi laavu",7255795,3575473,"65.388850086","28.619895684"
"Metsähallitus","Harjajärvi kota",7277070,3568930,"65.581035633","28.490027259"
"Metsähallitus","Pirinjärvi kota",7273951,3542011,"65.557664437","27.905815362"
"Metsähallitus","Tietämätön kota",7271185,3600069,"65.520185428","29.159964314"
"Metsähallitus","Kalajärvi kota",7280272,3575333,"65.608317971","28.630517694"
"Metsähallitus","Vähäjärvi kota",7290550,3552550,"65.704970243","28.140454557"
"Metsähallitus","Kotajärven keittokatos",6973273,3422005,"62.854869126","25.464948041"
"Metsähallitus","Särkkäjärvi keittokatos",7134907,3612191,"64.294958206","29.314087311"
"Metsähallitus","Iso-Pajuluoma, itäpuoli, tulipaikka",7278263,3587445,"65.587268338","28.891800868"
"Metsähallitus","Iso-Pajuluoma, länsipuoli, tulipaikka",7278298,3587262,"65.587631354","28.887859367"
"Metsähallitus","Pajusalmi laavu",7279076,3587127,"65.594641336","28.885440086"
"Metsähallitus","Pikku-Pajuluoma laavu",7279183,3586555,"65.595753658","28.873114513"
"Metsähallitus","Vanielin laavu",7277944,3585950,"65.584808539","28.859210520"
"Metsähallitus","Kolkkojärvi, laavu",7279633,3583852,"65.600497800","28.814820498"
"Metsähallitus","Kattaisenjärvi laavu",7278658,3582672,"65.592060911","28.788643254"
"Metsähallitus","Valkeinen, laavu",7276586,3586794,"65.572411144","28.876614626"
"Metsähallitus","Ahveninen laavu",7278379,3580212,"65.590177657","28.735172270"
"Metsähallitus","Petäjävaara laavu",7278061,3577702,"65.587937945","28.680602936"
"Metsähallitus","Kylmäluomajärvi kota",7275854,3579073,"65.567822020","28.709007109"
"Metsähallitus","Kylmäluomaharjun laavu",7275986,3578281,"65.569197263","28.691938153"
"Metsähallitus","Kylmäluomajärvi länsipään laavu",7276137,3575461,"65.571218636","28.630968439"
"Metsähallitus","Kylmäluomajärvi, venesataman tulipaikka",7275345,3579020,"65.563271987","28.707560663"
"Metsähallitus","Painanne nuotiopaikka",7144375,3502046,"64.398163207","27.038843800"
"Metsähallitus","Särkinen laavu",7143280,3502191,"64.388340327","27.041835066"
"Metsähallitus","Särkinen nuotiopaikka",7143188,3502823,"64.387510814","27.054931378"
"Metsähallitus","Särkinen kota",7143150,3502589,"64.387171678","27.050081346"
"Metsähallitus","Syväjärvi nuotiopaikka",7142650,3503005,"64.382683544","27.058692879"
"Metsähallitus","Kota-Peura nuotiopaikka",7142225,3502611,"64.378874337","27.050522086"
"Metsähallitus","Kaarresalo kota",7155057,3503480,"64.493968335","27.068812816"
"Metsähallitus","Kuoston Kulma laavu",7151299,3504863,"64.460243651","27.097465676"
"Metsähallitus","Kuoston Säippä laavu",7150497,3508549,"64.452979364","27.174011079"
"Metsähallitus","Honkinen kota",7157835,3496175,"64.518878557","26.916759449"
"Metsähallitus","Luomusjoen nuotiokehikko",7702952,3466620,"69.404827507","26.145676879"
"Metsähallitus","Geavvogeasladdot nuotiokehikko",7709493,3474703,"69.464347379","26.349707767"
"Metsähallitus","Suohppasaja nuotiokehikko",7713218,3481582,"69.498304218","26.524604258"
"Metsähallitus","Gaskkamus Suohppasaja nuotiokehikko",7714060,3482511,"69.505914841","26.548202235"
"Metsähallitus","Fiellujohka nuotiokehikko II",7716434,3485355,"69.527368203","26.620580640"
"Metsähallitus","Fiellujohka kammi",7716384,3485409,"69.526923005","26.621971355"
"Metsähallitus","Tapiola goahti",7729344,3496792,"69.643483702","26.912992682"
"Metsähallitus","Roajjasjavri nuotiokehikko",7721565,3491358,"69.573628432","26.773819667"
"Metsähallitus","Gamajotnjalmmeluobbal nuotiokehikko",7723549,3492691,"69.591453752","26.807869362"
"Metsähallitus","Gamajotnsuohppasaja nuotiokehikko",7724947,3492653,"69.603984279","26.806780086"
"Metsähallitus","Njaggaleapmi nuotiokehikko",7728744,3496469,"69.638101016","26.904700130"
"Metsähallitus","Tapiola goahti nuotiokehikko",7729346,3496788,"69.643501579","26.912889618"
"Metsähallitus","Beahcelavojavrrit nuotiokehikko",7731033,3497114,"69.658627727","26.921227717"
"Metsähallitus","Koskikarapuro nuotiokehikko",7732489,3498242,"69.671689822","26.950261661"
"Metsähallitus","Silkeaja nuotiokehikko",7732847,3501040,"69.674904417","27.022403172"
"Metsähallitus","Tsarssejoki nuotiokehikko",7741932,3497958,"69.756333712","26.942712915"
"Metsähallitus","Buordnajeaggi nuotiokehikko",7722977,3483741,"69.585923801","26.578095057"
"Metsähallitus","Ahkojotgoahti nuotiokehikko",7720187,3475033,"69.560234674","26.355256257"
"Metsähallitus","Tuntsa keittokatos",7501373,3618343,"67.576001524","29.775659421"
"Metsähallitus","Räntselmä tulipaikka",7500964,3617874,"67.572526494","29.764230996"
"Metsähallitus","Petäjärinne laavu",7498904,3620506,"67.553014754","29.823749397"
"Metsähallitus","Vahtikonelo tulipaikka",7497759,3622256,"67.542041610","29.863511693"
"Metsähallitus","Nuoluskuru kota",7494903,3615336,"67.519246200","29.698516418"
"Metsähallitus","Sorsa kota",7483133,3612102,"67.415066698","29.611232701"
"Metsähallitus","Tuntsajoki tulipaikka",7500015,3619021,"67.563566952","29.790126465"
"Metsähallitus","Naruskan tammi keittokatos",7479676,3600876,"67.388118534","29.346577186"
"Metsähallitus","Ministerikota",7475786,3601180,"67.353165369","29.350223054"
"Metsähallitus","Pystökoski kota",7467960,3595212,"67.285011481","29.205028438"
"Metsähallitus","Karhutunturi kota",7458987,3592675,"67.205407544","29.139053547"
"Metsähallitus","Maltio kota",7468011,3581377,"67.289551423","28.884308504"
"Metsähallitus","Hautalampi polttopuus./kuivak.",7188585,3526832,"64.793659867","27.560793704"
"Metsähallitus","Honkajärvi polttopuus./kuivak.",7188682,3527067,"64.794511124","27.565754960"
"Metsähallitus","Kolmiloukkonen laavu 1",7406230,3581416,"66.735853617","28.842776790"
"Metsähallitus","Kolmiloukkonen laavu 2",7406096,3581836,"66.734541096","28.852206960"
"Metsähallitus","Hanhilampi laavu",7403828,3582398,"66.714064220","28.863408835"
"Metsähallitus","Hevosoja laavu",7402032,3581893,"66.698102445","28.850764374"
"Metsähallitus","Lehtoaapa kota",7403190,3578401,"66.709390480","28.772471709"
"Metsähallitus","Palsarikumpu laavu",7400025,3580209,"66.680557629","28.811330074"
"Metsähallitus","Suksenpaistama laavu",7396108,3577794,"66.646068675","28.754215520"
"Metsähallitus","Topsakka-aapa tulipaikka",7395449,3580750,"66.639403096","28.820545127"
"Metsähallitus","Konttilampi kota",7392208,3582548,"66.609880039","28.858962409"
"Metsähallitus","Palotunturi kota",7394515,3582216,"66.630645172","28.853020099"
"Metsähallitus","Kolmiolampi",7400644,3574418,"66.687558814","28.680721132"
"Metsähallitus","Heinälampi tulipaikka",7400383,3575440,"66.684970859","28.703682766"
"Metsähallitus","Suomu leirintäalue keittokatos",7008440,3688374,"63.129672035","30.732169439"
"Metsähallitus","Kurkilahti keittokatos",7007319,3689073,"63.119271731","30.744701205"
"Metsähallitus","Ukonlampi laavu",7030798,3690349,"63.328781604","30.797436064"
"Metsähallitus","Murrookoski laavu",7032152,3674030,"63.349199504","30.473796040"
"Metsähallitus","Neitikoski tulentekopaikka",7036421,3673113,"63.387871904","30.460113712"
"Metsähallitus","Saarijärvi laavu",7057384,3651985,"63.585269751","30.058177968"
"Metsähallitus","Saarijärvi tulentekopaikka (pohjoinen)",7057383,3651988,"63.585259507","30.058237335"
"Metsähallitus","Pitkälampi kota",7413689,3583430,"66.802162658","28.893565272"
"Metsähallitus","Pahakuru tulipaikka",7412232,3582851,"66.789261793","28.879406795"
"Metsähallitus","Kaippaanoja laavu",7412031,3579644,"66.788310304","28.806420039"
"Metsähallitus","Kylmähete kota",7410600,3581843,"66.774905956","28.855404584"
"Metsähallitus","Tunturilampi laavu",7408497,3580552,"66.756399448","28.824695997"
"Metsähallitus","Saarijärvi tulipaikka",7385129,3606960,"66.538974049","29.403193228"
"Metsähallitus","Routsukainen kota",7481323,3560037,"67.413919757","28.396285844"
"Metsähallitus","Pyhäjärvi kota",7474049,3576523,"67.344945905","28.775748731"
"Metsähallitus","Vasatunturi kota",7471896,3540436,"67.332712047","27.935887896"
"Metsähallitus","Majavasokka laavu",7514621,3555822,"67.713219749","28.314476255"
"Metsähallitus","Vasasuvanto keittokatos",7519125,3557770,"67.753214114","28.362815041"
"Metsähallitus","Satkovittikko laavu",7521324,3558070,"67.772865351","28.371063274"
"Metsähallitus","Saunavaara keittokatos",7508509,3561501,"67.657300394","28.445198175"
"Metsähallitus","Kuritsa",7510557,3560074,"67.675952425","28.412684608"
"Metsähallitus","Jiekkioja tulipaikka",7508879,3561078,"67.660704993","28.435436179"
"Metsähallitus","Järvimuotka kota",7521745,3557720,"67.776708279","28.362997482"
"Metsähallitus","Murkinahauta keittokatos",7517067,3555562,"67.735194361","28.309558910"
"Metsähallitus","Majavakoski laavu",7513468,3557796,"67.702502383","28.360488851"
"Metsähallitus","Lattuna tulipaikka",7515490,3574949,"67.716741621","28.766619903"
"Metsähallitus","Ylempi Vasaoja laavu",7520855,3558626,"67.768550561","28.383976719"
"Metsähallitus","Vitta-apajanlehto 1 laavu",7530557,3590954,"67.847205070","29.156842226"
"Metsähallitus","Vitta-apajanlehto 2",7530499,3590906,"67.846700416","29.155654815"
"Metsähallitus","Kärekelehto laavu",7529291,3590725,"67.835933740","29.150361118"
"Metsähallitus","Hotikaisenmukka laavu",7526346,3590460,"67.809630059","29.141653654"
"Metsähallitus","Sotajoki 1 tulipaikka",7525720,3589369,"67.804357684","29.115289335"
"Metsähallitus","Sotajoensuu tulipaikka",7526278,3590431,"67.809029799","29.140910571"
"Metsähallitus","Sotatunturi kota",7515395,3584427,"67.713312503","28.990310256"
"Metsähallitus","Könkäänkonelo keittokatos",7531439,3576499,"67.859267918","28.814260374"
"Metsähallitus","Kaakkurinkonelo keittokatos",7529785,3576287,"67.844501397","28.808075426"
"Metsähallitus","Kuttusoja kota",7527132,3575951,"67.820814414","28.798267347"
"Metsähallitus","Pitkäjärvi tulentekopaikka",7020087,3696683,"63.229496527","30.910542817"
"Metsähallitus","Neitikoski lankkupolun tulentekopaikat",7036412,3672799,"63.387943153","30.453835402"
"Metsähallitus","Saunaniemi laavu",7034328,3677393,"63.367034116","30.543238701"
"Metsähallitus","Saunaniemi tulentekopaikka",7034330,3677388,"63.367054502","30.543141172"
"Metsähallitus","Kakkinen tulentekopaikka",7038350,3675238,"63.404110026","30.504643104"
"Metsähallitus","Korpiniemi tulentekopaikka",7036783,3676012,"63.389698466","30.518382254"
"Metsähallitus","Kattilaniemi tulentekopaikka",7036253,3672227,"63.386795215","30.442245287"
"Metsähallitus","Murroosuvanto tulentekopaikka",7032165,3674243,"63.349212384","30.478056579"
"Metsähallitus","Murrookoski tulentekopaikka",7032155,3674031,"63.349225882","30.473819221"
"Metsähallitus","Siikakoski tulentekopaikka",7031281,3674109,"63.341361587","30.474428865"
"Metsähallitus","Mutikaisenkari tulentekopaikka",7036858,3676176,"63.390289278","30.521738662"
"Metsähallitus","Saarijärvi keittokatos",7056899,3653165,"63.580417434","30.081436926"
"Metsähallitus","Venäjänhiekka kuivakäymä",7061383,3564695,"63.647807428","28.302330420"
"Metsähallitus","Koirakivi tulentekopaikka",7062465,3564722,"63.657506415","28.303320143"
"Metsähallitus","Iso-Valkeinen, niemi, kota",7081679,3607992,"63.819184756","29.189655209"
"Metsähallitus","Mäntyjärvi laavu",7082595,3608149,"63.827347474","29.193479550"
"Metsähallitus","Iso-Valkeinen, niemi, tulentekopaikka",7081671,3608074,"63.819087817","29.191313464"
"Metsähallitus","Iso-Valkeinen, Infopiste kota",7081388,3608227,"63.816503880","29.194220515"
"Metsähallitus","Urtti-Valkeinen tulentekopaikka",7081019,3608593,"63.813083195","29.201387928"
"Metsähallitus","Hakolampi keittokatos",7081270,3609108,"63.815173541","29.212011627"
"Metsähallitus","Hakolampi tulentekopaikka",7081254,3609107,"63.815030429","29.211980091"
"Metsähallitus","Uuronrotko tulentekopaikka",7079524,3621372,"63.795501273","29.459412968"
"Metsähallitus","Peurakangas tulentekopaikka",7077907,3622685,"63.780553540","29.484750892"
"Metsähallitus","Kuikkalampi kota",7440746,3466031,"67.054193558","26.215532768"
"Metsähallitus","Jokihaaran tulentekopaikka",7357048,3619019,"66.283034906","29.647488456"
"Metsähallitus","Lohisuoran laavu",7356137,3615891,"66.276044347","29.577059729"
"Metsähallitus","Vennäänmutkan laavu",7355443,3613849,"66.270574021","29.531014358"
"Metsähallitus","Harrisuvannonniskan laavu",7354806,3610833,"66.265945844","29.463382028"
"Metsähallitus","Koljatin laavu",7345251,3560359,"66.194035951","28.335788508"
"Metsähallitus","Uusipuron laavu",7347493,3568866,"66.212392471","28.525729893"
"Metsähallitus","Kirves-Heikin kanava, tulentekopaikka",7046033,3404365,"63.503072385","25.075916926"
"Metsähallitus","Maansydänjärvi, laavu",7070762,3390122,"63.720622053","24.772826681"
"Metsähallitus","Pökkelöniemi laavu",7038334,3394002,"63.431106770","24.873095673"
"Metsähallitus","Iso-Vänttäläinen tulentekopaikka",7042684,3401131,"63.472159765","25.013101686"
"Metsähallitus","Sammalpuro kaksipuoleinen laavu",6985875,3726192,"62.906175525","31.448718053"
"Metsähallitus","Sammalpuro tulentekopaikka",6985876,3726196,"62.906181992","31.448797859"
"Metsähallitus","Karanteenipudas laavu",6987263,3725633,"62.918936802","31.439636366"
"Metsähallitus","Karhusaari laavu",7148372,3502684,"64.434011800","27.052138584"
"Metsähallitus","Karhusaari laavu tulipaikka",7148380,3502680,"64.434083588","27.052055683"
"Metsähallitus","Ykspisto nuotiopaikka",7142952,3494386,"64.385354725","26.880092385"
"Metsähallitus","Kaarresalo nuotiopaikka",7155075,3503482,"64.494129772","27.068854830"
"Metsähallitus","Sääskenniemi keittokatos",7150512,3637049,"64.425753582","29.841315677"
"Metsähallitus","Mustalammen pieni keittokatos",6690867,3362531,"60.305734000","24.509968753"
"Metsähallitus","Haukanholman tulentekopaikka",6691319,3362364,"60.309730337","24.506641867"
"Metsähallitus","Ailanganlahti kota",7386800,3520406,"66.571723172","27.455851614"
"Metsähallitus","Antinlahti kota",7386659,3519376,"66.570524518","27.432624839"
"Metsähallitus","Hiipanniemi laavu",7387174,3519681,"66.575123462","27.439577515"
"Metsähallitus","Siurujoki keittokatos",7498098,3581160,"67.559234477","28.900657310"
"Metsähallitus","Höglandin luontotorni",6675230,3239676,"60.105749853","22.314101460"
"Metsähallitus","Konungskär",6673798,3198583,"60.064789111","21.580604848"
"Metsähallitus","Kaijankiven laavu",7355896,3616658,"66.273601281","29.593897186"
"Metsähallitus","Pyssylampi polttopuus.-kuivak.",7195616,3539790,"64.855438129","27.835292665"
"Metsähallitus","Honkajärvi tulentekopaikka",7188672,3527078,"64.794420553","27.565984463"
"Metsähallitus","Kivalon P-alue laavu",7311118,3411563,"65.881391356","25.057221774"
"Metsähallitus","Lauhanvuoren tulentekopaikka, Ahvenlammi",6904915,3246474,"62.164251397","22.128780541"
"Metsähallitus","Lauhanvuoren tulentekopaikka, Kaivolammi",6904774,3246894,"62.163273584","22.137013272"
"Metsähallitus","Sorsakolu laavu",6793517,3401944,"61.237961498","25.170758519"
"Metsähallitus","Vieremänjärvi tulentekopaikka",7259063,3622613,"65.403867239","29.635875642"
"Metsähallitus","Ahvenperän laavu",7356126,3616929,"66.275560914","29.600136876"
"Metsähallitus","Raaninkoski tulentekopaikka",7241821,3612314,"65.253064505","29.400285674"
"Metsähallitus","Yikota Kitkajoella",7355819,3614189,"66.273819108","29.538914829"
"Metsähallitus","Pähkänän laavu",7355245,3613534,"66.268914187","29.523831526"
"Metsähallitus","Harrisuvannon ylälaavu",7354599,3610400,"66.264243721","29.453573431"
"Metsähallitus","Pahkaniemi kota",7155912,3635547,"64.474731342","29.815148097"
"Metsähallitus","Isokuru kota",7282446,3523226,"65.635729128","27.500602880"
"Metsähallitus","Valkiainen, kota",7054042,3381371,"63.567916215","24.608556764"
"Metsähallitus","Kellokaan keittokatos",7502965,3381274,"67.589971791","24.205583952"
"Metsähallitus","Suolahti tulipaikka",7330766,3513162,"66.069627083","27.286861362"
"Metsähallitus","Saarikoski laavu",7326599,3495489,"66.032489639","26.896714827"
"Metsähallitus","Rahaselkä laavu",7333557,3448676,"66.090728863","25.861737753"
"Metsähallitus","Huhtalampi laavu",7315259,3426539,"65.922318408","25.383058496"
"Metsähallitus","Syväjärvi laavun  tulentekopaikka",7123320,3607329,"64.192651057","29.205445830"
"Metsähallitus","Syväjärvi tulentekopaikka läntinen",7123216,3607227,"64.191750529","29.203274324"
"Metsähallitus","Jokikangas laavu",7307742,3431229,"65.855977474","25.489972324"
"Metsähallitus","Hömmönkoski laavu",7301299,3422769,"65.796284173","25.308572001"
"Metsähallitus","Louhikoski tulentekopaikka",7344654,3441990,"66.189060193","25.708942262"
"Metsähallitus","Pitkälehto laavu",7330856,3422661,"66.061210961","25.288602534"
"Metsähallitus","Mettokoski laavu",7343314,3441063,"66.176873756","25.689001233"
"Metsähallitus","Maansydänjärvi, savustuskatos",7070764,3390125,"63.720640919","24.772885929"
"Metsähallitus","Ahvelammin tulentekopaikka 2",7069179,3392709,"63.707230883","24.826225675"
"Metsähallitus","Ahvenlampi, kota",7069211,3392742,"63.707527810","24.826870619"
"Metsähallitus","Koukkero tulentekopaikka",7140665,3601383,"64.349929980","29.094922342"
"Metsähallitus","Kuusamonkylän mylly tulentekopaikka",7148048,3609157,"64.413717796","29.261122888"
"Metsähallitus","Kallioniemi laavu",7131659,3643422,"64.254253997","29.955218652"
"Metsähallitus","Valkiainen, tulentekopaikka",7054020,3381379,"63.567721708","24.608734180"
"Metsähallitus","Särkinen laavu tulipaikka",7143275,3502191,"64.388295478","27.041834998"
"Metsähallitus","Honkinen kota tulipaikka",7157840,3496171,"64.518923359","26.916676018"
"Metsähallitus","Reimikari nuotiopaikka",7153677,3494197,"64.481553117","26.875740373"
"Metsähallitus","Ylä-Mulkku nuotiopaikka",7153827,3500896,"64.482950659","27.015047791"
"Metsähallitus","Aitarannan tulentekopaikka",7196586,3590192,"64.854376350","28.898071109"
"Metsähallitus","Myllykoski laavu",7174400,3495950,"64.667458176","26.911592588"
"Metsähallitus","Myllykosken laavu tulipaikka",7174401,3495957,"64.667467234","26.911739121"
"Metsähallitus","Louhikonkoski nuotiopaikka",7173570,3494762,"64.659996436","26.886750088"
"Metsähallitus","Matokurun tulentekopaikka",7180326,3498716,"64.720635237","26.969445273"
"Metsähallitus","Maansydänjärvi, tulentekopaikka",7070761,3390125,"63.720614027","24.772888044"
"Metsähallitus","Suonperä kämppä nuotiopaikka",7166145,3499472,"64.593439819","26.985374350"
"Metsähallitus","Kirkaslampi tulentekopaikka",7189856,3575364,"64.797694778","28.582035160"
"Metsähallitus","Ypykkälampi polttopuus.-kuivak.",7184573,3551930,"64.754749962","28.087205707"
"Metsähallitus","Peuralampi laavu",7091850,3574600,"63.919073528","28.516771247"
"Metsähallitus","Peuralampi laavu tulipaikka",7091845,3574600,"63.919028692","28.516768825"
"Metsähallitus","Niemijärvi laavu tulipaikka",7084939,3589389,"63.853642676","28.813988303"
"Metsähallitus","Paskolampi laavu tulentekopaikka",7108282,3492793,"64.074330449","26.848793231"
"Metsähallitus","Turpeinen, laavun tulipaikka",7270789,3579993,"65.522191753","28.725916119"
"Metsähallitus","Kattilajärvi. laavu",7273770,3596059,"65.544562681","29.075172733"
"Metsähallitus","Kallioinen tulipaikka",7269715,3561576,"65.516568204","28.327354693"
"Metsähallitus","Ölkky tulipaikka",7246250,3565240,"65.305467510","28.395300731"
"Metsähallitus","Salmitunturi laavu tulipaikka",7298458,3552491,"65.775887012","28.142299591"
"Metsähallitus","Pyhitys tulipaikka",7300107,3560353,"65.789293563","28.314657434"
"Metsähallitus","Syväojansuu tulipaikka",7299446,3563359,"65.782789059","28.379984524"
"Metsähallitus","Ahma, laavun tulipaikka",7294055,3563522,"65.734423015","28.380956074"
"Metsähallitus","Vaara-Salminen, tulipaikka",7297895,3555779,"65.770286069","28.213832064"
"Metsähallitus","Soiperoinen tulipaikka",7287629,3558771,"65.677707948","28.274581519"
"Metsähallitus","Korvuanjärvi tulipaikka",7255795,3575474,"65.388849856","28.619917186"
"Metsähallitus","Pirinjärvi tulipaikka",7273949,3542006,"65.557647147","27.905706504"
"Metsähallitus","Välitupa tulentekopaikka",7284578,3526408,"65.654606046","27.570115840"
"Metsähallitus","Lauttalampi laavu",7277672,3525226,"65.592766703","27.543135629"
"Metsähallitus","Lauttalampi tulentekopaikka",7277675,3525223,"65.592793839","27.543071157"
"Metsähallitus","Kellarilammen infalaavut 2",7277240,3526684,"65.588776365","27.574656453"
"Metsähallitus","Kellarilampi infalaavun tulipaikka",7277242,3526673,"65.588795202","27.574418429"
"Metsähallitus","Lauttalampi pysäköintialue",7277773,3525211,"65.593673640","27.542829351"
"Metsähallitus","Huuhankallio luontotorni",7070868,3388723,"63.721132045","24.744464453"
"Metsähallitus","Pyhäjärvi  laavu  2.",7512577,3388912,"67.679051948","24.375292349"
"Metsähallitus","Isoniemi Tulentekopaikka",7291680,3534392,"65.717545977","27.745428877"
