62.263929,25.485957,"Tivoli Suuronen",10700166,"Jyväskylä","Jokirinteentie","31","41930"
60.364631,25.30966,"Savijärven Kartano / Savijärvi Gård",07664686,"Sipoo","Savijärven Puistotie","","04130"
65.029163,25.440153,"Vauhtipuisto",20384304,"Oulu","Hietasaarentie","9","90510"
60.817743,25.746517,"Orimattilan kotieläinpuisto",01299198,"Orimattila","Ravitie","6","16300"
61.442284,24.04282,"Liuksialan kartano",02155735,"Kangasala","Liuksialankuja","110","36200"
61.471137,23.355046,"Knuutilan Kartano",10788807,"Nokia","Lukkisalmentie","49","37200"
61.774297,23.025898,"Ti-Ti Nallen Talo Oy",16567917,"Ikaalinen","Wegeliuksenkatu","5","39500"
62.245315,26.038489,"Ysitien Lemmikki",10556758,"Jyväskylä","Palvaniementie","2","41450"
62.739451,25.172714,"Saarijärven Vesieläinpuisto Oy kalastajakylä",06627875,"Saarijärvi","Kolkanlahdentie","118","43100"
60.629676,24.92211,"Ahdenkallion kartano",13749168,"Hyvinkää","Ahdenkalliontie","350","05820"
61.560456,24.169288,"Lihasulan Säätiö",02888883,"Kangasala","Siitamantie","750","36120"
60.215742,24.814196,"Espoon kaupunki Albergan kartano",01012636,"Espoo","Sokerilinnantie","7 D","02600"
60.420006,22.623538,"Wiksbergin Kartano",10721936,"Paimio","Hirvonpääntie","76","21510"
60.568861,22.436296,"Zoo-Ravintola",10310934,"Lieto","Eläintarhantie","51","21360"
60.369077,22.243789,"Brinkhallin kartano",07140823,"Turku","Brinkhallintie","414","20960"
61.469621,23.889325,"Haiharan kartano",02116752,"Tampere","Haiharankatu","30","33710"
60.272192,25.111099,"Vantaan kaupunki Håkansbölen kartano",01246109,"Vantaa","Vuorilehdontie","6","01200"
60.191712,25.018861,"Helsingin kaupunki Kulosaaren kartano",02012566,"Helsinki","Kipparlahden silmukka","5","00810"
60.201993,24.958411,"Helsingin yliopisto Kumpulan kartano",03134717,"Helsinki","Jyrängöntie","2","00560"
60.20586,25.134137,"Helsingin kaupunki Vuosaaren kartano",02012566,"Helsinki","Vuotie","","00980"
60.168751,25.02497,"Helsingin kaupunki Stansvikin kartano",02012566,"Helsinki","Stansvikintie","","00590"
60.199436,25.062685,"Helsingin kaupunki Strömsin kartano",02012566,"Helsinki","Untuvaisentie","10","00820"
60.622579,26.154671,"Lapinjärven kunta Sjökullan kartano",02031353,"Lapinjärvi","Latokartanontie","97","07800"
60.217598,24.621925,"Espoon kaupunki Gumbölen kartano",01012636,"Espoo","Engelin puistotie","","02810"
60.163204,25.082006,"Helsingin kaupuki Jollaksen kartano",02012566,"Helsinki","Jollaksentie","54","00850"
60.403936,25.114112,"Keravan kaupunki Lapilan kartano",01274855,"Kerava","Lapilantie","19","04200"
60.319307,24.690818,"Helsingin kaupunki Luukin kartano",02012566,"Espoo","Luukintie","33","02970"
