siteName,X,Y
Luttirati,273657.445116649,6963707.18760148
Talli,273608.374097244,6963703.67831578
Hyysi,273621.880790201,6963715.55589813
Liiteri,273626.919001065,6963727.19352933
Paja,273659.457102657,6963748.2492435
Vellisauna,273649.100322222,6963742.29045639
Puuliiveri,273638.182824374,6963746.28964237
Kaivo,273644.177553177,6963715.30594901
Postitalo,309852.182853301,7084528.91468939
Vanha asuinrakennus,291792.513985096,7061971.91610103
Viljavaraston vanhimmat siilot,289104.94595371,6968107.85185903
Virastotalo,227756.392125697,7007529.96760172
Koulurakennus,228385.813912497,7007282.71792868
Työväen asuinrakennus,227351.570645831,7008724.69441855
Konttorirakennus,227312.707981664,7008693.06085747
Paloasema,227287.244814478,7008612.36728241
Sairaalarakennus,232986.384837173,7004599.67405448
"Talousrakennus, ruokala",232950.012417983,7004569.02029396
Ukkola (nyk. sairaala),232949.344504596,7004593.94522056
Konttori,232953.393214145,7004617.56041376
Koulurakennus,228030.986986597,7007534.15674904
Ent. Maanmittauskonttori / Vesiylioikeus (nyk. toimistorakennus),227856.084383235,7007296.39514472
Luentorakennus Fennicum,434128.938655262,6901215.27764848
Seminaarirakennus,434158.285615111,6901243.7918445
Voimistelusali Ryhtilä,434123.760265044,6901279.43458952
Luentorakennus Educa,434275.137474629,6901365.84700052
Luentorakennus Historica,434245.897710756,6901335.0232746
Talous- ja asuinrakennus,434207.90086024,6901259.35867591
Luentorakennus Oppio,434237.486949574,6901252.88999259
Luentorakennus Villa Rana,434258.49736084,6901182.62429497
Päärakennus,434126.943160942,6901150.10091501
"Toimisto-, opetus- ja ruokatilat Philologica-Lozzi",434042.967482632,6901061.13902295
Urheiluhalli,433945.01509824,6901115.10803771
Uimahalli,433921.019691339,6901148.10132203
Harjoituskoulu,434053.975684767,6901259.048739
Ryytimaan aitta,521126.372574476,6798703.70358203
Riihi,521073.409516563,6798707.55279853
Suurempi riist aitta,521048.342149904,6798696.62502285
Päärakennus,530278.088833118,6711090.01709377
Oppilasasuntola,530280.125556659,6710971.59119902
Agronomien asuinrakennus,530354.057796616,6711175.15976323
