siteName,X,Y
Talousrakennus,371931.367961003,6755961.33366744
Tapuli,506697.893175512,6943455.98967407
Tapuli,429204.965717298,6818782.05669149
Tapuli,275110.667977839,6670864.49488214
Tapuli,489863.771161641,7146563.36775641
Tapuli,557069.661535167,6781134.82967535
Tapuli,327646.269568422,6822591.55127992
Tapuli,333123.703575531,6841813.58868996
Tapuli,676045.320710287,6900050.20479568
Tapuli,364535.249673885,7327583.98153556
Tapuli,247096.533417091,6726156.26040365
Tapuli,381309.539841545,6781007.64556331
Tapuli,576180.378700714,6965335.87608666
Tapuli,391644.988278094,6698959.16629326
Tapuli,336862.402362703,6948688.90452943
Tapuli,346482.004318386,7068170.60437601
Tapuli,227248.91813019,6822907.66693549
Tapuli,471902.054677828,7183094.69191135
Tapuli,418740.412096606,6931339.20601024
Tapuli,272416.68467959,7044272.4087844
Tapuli,277625.963830194,7051568.01378516
Tapuli,197893.333127684,6740042.72385429
Tapuli,243244.726383711,6728446.94414162
Tapuli,286512.971995246,6811794.6389601
Tapuli,207079.888078476,6715135.32368335
Tapuli,258382.010312513,6664679.77376418
Tapuli,338623.269428731,7042718.01517671
Tapuli,403305.502663786,7152583.1824406
Tapuli,339981.821751559,7007591.28512072
Tapuli,332046.557180992,6904883.4610004
Tapuli,252758.38573188,7001364.42258053
Klockstapel - Tapuli,251878.125361596,7019212.49965621
Tapuli,261051.453978137,7011230.48437227
Tapuli,288027.214104226,7008314.49791285
Tapuli,439106.493089461,6961309.79558367
Tapuli,451254.163710314,6947502.52601334
Tapuli,451910.508178741,7188276.07725539
Tapuli,346826.152875923,6875991.26192371
Ratamestarin talo,508388.670565025,6908434.70815434
Pyhän Ristin kappeli,242090.712228645,6708439.99649778
Kellari,369397.791071843,6878492.14287665
Sauna,369404.577401699,6878508.6695127
Liiteri,369412.608854043,6878506.09003774
Asemapäällikön talousrakennus,305064.093183491,6821167.39116358
Yksinkertainen vahtitupa Satamakadulla,506465.360366366,6943235.34458574
Vesitorni,480491.767172633,7057277.67160088
Tapuli,216082.808076797,6954215.58958872
Tapuli,268519.929548953,7026824.07034308
Tapuli,360104.510158329,6840666.30221679
Tapuli,393711.190712558,7128336.80771984
Tapuli,263138.534890358,6709817.39613208
Tapuli,632433.998500974,6825692.20015183
Tapuli,658574.578287545,6854117.96417002
Tapuli,291884.892178744,6881990.83072888
Tapuli,369967.603650228,7012121.71296527
Kellotapuli,285424.413352202,6680276.89901458
Tapuli,286135.815322992,6688378.82989005
Tapuli,293733.577486524,6707057.32793595
Tapuli,506611.946740415,6907657.33638611
Tapuli,299123.622035785,7050098.02299752
Tapuli,304237.257638401,7057748.47577005
Tapuli,428497.200163842,7027604.23154353
Tapuli,449658.139317607,7117109.38302957
Tapuli,215498.90335051,6849824.95799898
Tapuli,205925.725498213,6843085.64976562
Tapuli,495246.237779994,7251756.74594942
Tapuli,562631.772117352,6821740.93442051
Tapuli,445106.573445582,7127958.75467144
Tapuli,474827.993576123,6706338.66421787
Tapuli,449235.688222635,7057455.87532803
Tapuli,374607.490760507,6805339.86281106
Tapuli,268921.081628107,6733939.09622999
Tapuli,426073.433183172,6696380.19123616
Hautakappeli,235150.605622783,6715078.39527096
Tapuli,435378.241787012,7154024.63903629
Tapuli,491495.887614832,6943579.05462456
Tapuli,397720.608813811,7054558.07516684
Tapuli,514204.175942425,6818591.83541048
Tapuli,558019.360160267,7153927.25885774
Tapuli,411332.980511114,6953855.99278361
Tapuli,324469.516824176,6691313.95245436
Tapuli,262665.718178427,6697284.99706555
Tapuli,414183.906963848,7166017.87784732
Tapuli,402915.441245209,7178712.22394999
Tapuli,403716.310626611,7283428.84918467
Kellotapuli,403968.633462068,6693804.47551562
Tapuli,344899.948385916,6674442.21664725
Tapuli,357993.648231158,6974724.79499945
Tapuli,320693.967358845,6719840.08604262
Tapuli,572442.850823432,6851441.10903612
Tapuli,524245.379671117,6798832.92727892
Tapuli,315093.323946265,6695932.59234361
Tapuli,441731.72253797,7224115.2422973
Tapuli,357699.964240713,6668070.40361131
Tapuli,402747.489888589,7000517.06505769
Tapuli,361748.187285223,7472375.07972752
Tapuli,424426.837027397,6876844.34828046
Tapuli,203578.842769759,6975156.00722745
Tapuli,307408.493912812,7024751.51220627
Tapuli,399639.936269675,6766948.58724385
Tapuli,215574.723888812,6913719.10253119
Tapuli,318699.347098715,7069327.8088304
Tapuli,303570.201818234,7072420.94923064
Tapuli,326375.469520592,7051216.55532351
Tapuli,622110.267409169,7113561.3652183
Tapuli,403020.691201803,6826693.85626764
Tapuli,321308.587855134,6968993.79152858
Tapuli,264188.494736253,6951313.1803657
Tapuli,190481.341590296,6725265.63168854
Tapuli,292405.188462132,6715382.75331976
Tapuli,325442.089421353,7086484.67659973
Tapuli,158266.955353754,6661434.67429476
Kellotapuli,212062.884769911,6760888.60073652
Tapuli,331508.878657829,7013605.41096285
Tapuli,564105.62608097,6769792.16844114
Tapuli,583247.974305236,6759236.24706832
Tapuli,221461.374410797,6785426.21617607
Tapuli,456043.663419499,6721248.98926445
Tapuli,297543.363697372,6988231.72570288
Tapuli,446442.853742966,6920887.89334462
Tapuli,543427.934632171,6769896.23725823
Tapuli,326062.762367356,6801984.29582699
Tapuli,224716.009154418,6724355.26699063
Tapuli,250281.08673004,6716631.33917374
Tapuli,424127.281995813,7188693.12236707
Tapuli,329075.686677129,7104128.0753371
Tapuli,536052.084630332,6753851.95302575
Tapuli,224710.575143027,6990205.4039664
Tapuli,216590.884018937,6979997.4117736
Tapuli,376371.713885164,7132906.66753813
Tapuli,211111.619434394,6870661.196843
Tapuli,513529.698862391,6839415.20687362
Tapuli,240271.645993576,7014235.68267287
Tapuli,294704.344243801,6696176.74264753
Tapuli,490721.644064661,6808561.09713816
Tapuli,442027.616414687,6757555.89909827
Tapuli,304735.9250722,6812604.96402079
Tapuli,227615.701530319,6840023.61303431
Tapuli,332650.111754236,6723624.66570241
Tapuli,291649.085769412,6974226.9463351
Tapuli,379486.284717573,6704552.2878296
Tapuli,249513.596526348,6647769.24585308
Tapuli,469940.656924366,6731856.49013842
Tapuli,106134.938366393,6714537.30540823
Tapuli,369870.649012996,6677021.81157818
Tapuli,220392.23473107,6800951.68601172
Tapuli,416809.004478849,7070002.10158006
Tapuli,283621.121417271,6702326.87080678
Tapuli,358980.486138967,7039890.79065006
Tapuli,359494.235221984,6771235.75460337
Tapuli,368653.174840228,6784327.26986341
Tapuli,422733.19008407,7229470.40227003
Tapuli,336803.007546239,7108110.42474143
Tapuli,488325.261532898,6834048.39927174
Tapuli,415380.329496128,6769568.90388599
Tapuli,188408.72388897,6689687.01361305
Tapuli,571948.166132428,7173729.00826909
Tapuli,448247.184654278,6785675.68539734
Tapuli,449931.183959779,6791171.4067592
Tapuli,508502.257070202,7050281.8655769
Tapuli,467568.418224702,6755970.13187659
Tapuli,292283.694192275,6854925.39981884
Tapuli,273272.232254518,6963038.93362264
Tapuli,333082.020832615,6660197.16618595
Tapuli,237087.719364793,6897061.4831413
Tapuli,369497.219462364,6753310.0433299
Tapuli,667491.180787775,6933376.99122497
Tapuli,307713.771560338,6747034.76064549
Tapuli,542959.991214218,6894489.47666576
Tapuli,453316.935873551,6845687.13024181
Tapuli,613416.987110007,7014878.28187367
Tapuli,366024.556349713,6852494.84455131
Tapuli,404412.993765334,6861626.8057671
Tapuli,247115.845184432,6702754.83369617
Tapuli,531935.132473615,7129815.206796
Tapuli,351708.09674551,7128940.13491434
Tapuli,481452.366803892,6873264.96685317
Tapuli,348615.377400485,7089717.43858041
Tapuli,316009.313559884,6665177.68241632
Tapuli,346973.662784534,6714222.87940873
Tapuli,268618.030358542,6897154.17427429
Tapuli,388078.759570217,6973757.52188509
Tapuli,263726.109017356,6914451.61343072
Tapuli,335741.148947025,7051147.20943867
Kellotapuli,263986.916826594,6677833.70631936
Tapuli,428346.111558807,7200002.09045942
Tapuli,619957.862918435,6866526.52844276
Tapuli,310544.759561564,6707798.30711179
Tapuli,304932.068970468,6684097.56132985
Tapuli,337749.053262316,6683172.98952375
Tapuli,293867.984748549,6663655.20231273
Porttirakennus,293859.029761643,6663709.7112176
Haapaniemen kappeli,305007.518445776,6684132.46422546
Hongiston ja Mellarin kappeli,304966.363436895,6684161.8582424
Wimanin kappeli,305119.21665261,6684129.52482377
Gadolin-suvun hautakappeli,241292.687663525,6712166.63795072
Winter-suvun hautakappeli,241285.266403659,6712122.44694567
Frenckell-suvun hautakappeli,241277.185476249,6712098.94173009
Tapuli,241302.500218237,6712089.37367764
Tapuli,208870.341233838,6739326.10971902
Tapuli,208866.910962611,6739254.53428799
Tapuli,388621.525779311,6684668.37514235
Tapuli,217771.977526671,6683951.13113529
Tapuli,221229.517760883,6704159.90769744
Porttirakennus,221285.88635249,6704120.20577865
Kellotapuli,204566.150690693,6726176.80622161
Tapuli,319127.652743137,6801967.74919501
Kappeli,319032.124636968,6802037.80493537
Kivisakaristo,319147.739619842,6802040.74433706
Tapuli,537720.886844795,6708312.58243254
Tapuli,248104.356998633,6668174.15249353
Hautakappeli,248197.469072424,6668154.05658399
Tapuli,323743.610413268,7032265.82269017
Talvihauta,323769.081826299,7032233.48927154
Tapuli,364923.892807243,6763010.15889951
Hautakappeli,364860.012251482,6763018.27724704
Tapuli,392793.988959828,6773349.1144351
Tapuli,218190.223241052,6716096.18810218
Tapuli,207760.920604725,6938955.26578337
Hautakappeli,207814.089808745,6938958.45513418
Tapuli,287544.832212911,7068134.72167983
Hautakappelit,287559.592274201,7068129.95265055
Tapuli,253376.840545767,6707274.70368975
Tapuli,306674.902375021,6667124.60612564
Kellotapuli,253681.161675354,6689683.32436398
Tapuli,489433.857577582,6728196.0352134
Kirkkovuoren hautausmaa,489227.777436937,6728475.92824199
Tapuli,313291.606967595,6655945.19166303
Tapuli,236488.856676954,6702208.93481231
von Bonsdorff -suvun hautakappeli,236505.711182695,6702156.11556351
Hautakappeli,241407.906845873,6713383.69022326
Baer-suvun hautakappeli,241362.496981335,6713419.6429052
Tapuli,339220.680847974,6989601.19695098
Tapuli,326431.508278427,6944299.53797226
Tapuli,218614.579126055,6725902.87198013
Tapuli,422991.746777814,6711377.62855129
Tapuli,257175.074328755,6727413.61447287
Asemarakennus,366902.087345535,6674932.55683992
Ruumishuone,240733.132915445,6694119.24144593
Porttirakennukset,240685.257543462,6694160.55303707
Kellotapuli,240725.917801686,6694217.28149016
Hautakappeli,253425.194176718,6707227.50329725
Kellotapuli,237421.577108649,6720046.59400852
Tapuli,447428.347578155,6700761.09951498
Vanha päärakennus,354499.10889359,6703364.70955771
Mylly-voimalaitos ja sen suoja-alue,354471.905853258,6703952.98981497
Päärakennus,354441.841504955,6703345.19353014
Toll-suvun hautakappeli ja suoja-alue,354688.120136542,6703638.88375035
Harmaakivinavetta,354508.195814004,6703209.42116621
Vanha päärakennus,354468.203469169,6704192.13113845
Uusi päärakennus,354493.650144666,6704174.99462654
Viljamakasiini,354422.579212679,6704157.92810038
Entinen hoidokkien rakennus,453770.407834763,6721105.33850415
Pesula-saunarakennus,453774.324610804,6721196.76989356
Vilja-aitta,453865.515402873,6721063.6869822
Entinen sairaala,453808.289243459,6721135.3823888
Entinen talousrakennus,453792.613893453,6721059.62780843
Vanha kartano,453920.622380303,6721075.30461746
Kirkko,227617.062094628,6840097.84792402
Tapuli,368969.196822872,7118281.52444358
Kirkko,386331.778505983,6672236.37563979
Kirkko,510906.234024561,6714794.27310321
Kirkko,328182.166989217,6822208.9691534
Kirkko,228260.881125569,7007064.98224814
Kirkko,641824.671081469,6944743.66757097
Kirkko,483103.168340258,6748310.1710394
Kirkko,386797.454316754,6671929.05819336
Kirkko,239712.561258621,6711144.52599864
Kirkko,497120.897497306,6703230.49687631
Kirkko,700614.234328202,6956232.81898753
Kirkko,275323.905511333,6639237.15253593
Kirkko,563907.280542275,6770598.49431585
Kirkko,513618.152034154,6838897.94216135
Kirkko,426584.560087702,6761455.20540578
Tapuli,420444.960046093,7113080.06318593
Kirkko,263755.835286043,6914456.8123725
Kirkko,216661.031416363,7036777.34438302
Tapuli,289508.151248094,6731055.08326246
Kirkko,531990.470334685,7129819.16599011
Kirkko,506608.895778026,6907717.75408826
Kirkko,486841.223951574,7012069.56358013
Kirkko,449235.341897175,7057506.63499604
Tapuli,651740.373059976,7024024.80012641
Kirkko,620525.308939507,6971186.56519586
Kirkko,467368.052454154,7005590.35240477
Kirkko,667523.941527163,6933425.5813346
Kirkko,554377.071784604,7008691.47118104
Kirkko,381741.861212138,6670972.12297475
Kirkko,383802.547176768,6674739.46614298
Kirkko,386917.464334638,6675143.03399791
Kirkko,377070.74708951,6712513.52734239
Kirkko,384891.963387619,6672484.66510119
Kirkko,233086.563599525,6813997.28061878
Kirkko,384697.419183144,6673230.74323915
Kirkko,599633.200801479,6790568.52947312
Kirkko,435149.493820397,6903042.03581715
Kirkko,328856.677052628,6821192.12612885
Kirkko,383079.502073831,6723907.978035
Kirkko,386460.454906222,6676964.81318004
Kirkko,509050.976778877,7047839.42272906
Kirkko,394955.79371306,6705009.25481529
Kirkko,404442.217037519,6861554.41050294
Kirkko,411453.361591991,6983778.70210292
Kirkko,546982.850041674,6910194.46995993
Kirkko,627284.938751263,6814325.06389945
Kirkko,360161.183846175,6840669.14163884
Kirkko,288921.401705526,6730706.27426153
Kyrka - Kirkko,251907.513550667,7019208.89039087
Kirkko,435908.647475506,6890794.29880849
Kirkko,107580.368904723,6683266.97039422
Kirkko,288129.693457136,6968673.43673587
Kirkko,583275.86999649,6759240.68616475
Kirkko,594772.069442895,7199229.01781611
Kirkko,351121.726511779,6895819.58592588
Kirkko,385599.73718692,6670835.80072275
Kirkko,238977.460731323,6709915.99606235
Kirkko,389661.640087117,6673634.53104931
Kirkko,479936.376575922,6752756.41601913
Kirkko,375652.701000087,6879543.9787785
Kirkko,430330.762593183,6888830.88845498
Kirkko,314277.282211359,6883894.70320117
Kirkko,230818.090604481,7007530.18755695
Kirkko,443428.354476933,7375625.19288635
Kirkko,567815.47265895,6771270.26757835
Kirkko,573212.9054847,7413521.66916852
"C43, Suomenlinnan kirkko",388195.685642334,6669582.73578048
Kirkko,382801.617121057,6680469.20987026
Kirkko,536124.911927154,6753890.54517043
Kirkko,431639.683179193,6852437.58620608
Kirkko,543482.785988427,6769877.00117368
Kirkko,472419.835978705,6768399.48191844
Kirkko,496009.151540102,6709605.47926714
Kirkko,453316.482352114,6845727.62199983
Kirkko,510887.301566058,6683687.05488724
Kirkko,664520.178350403,6888882.11802735
Tapuli,649244.306516519,6864763.16736979
Kirkko,620011.683544155,6866557.77208321
Kirkko,481389.756108153,6873226.1147614
Kirkko,571987.292663613,7173764.96095102
Kirkko,564153.542682174,6769872.58207318
Kirkko,500267.989939619,7116939.09769066
Kirkko,558007.337719284,7153891.1662043
Kirkko,635773.177886162,6912193.90298114
Kirkko,525780.030244729,7060523.02101942
Kirkko,568423.58718409,7112421.76718018
Kirkko,506559.272287053,6943541.26231707
Kirkko,686365.184501118,6933701.99507138
Kirkko,576144.212427632,6965362.11074667
Kirkko,589936.788806179,7062545.70930708
Kirkko,470776.315522853,6917422.41873192
Kirkko,537838.052046397,7025657.95770192
Kirkko,491598.309246832,6943532.48410385
Kirkko,630530.02480719,7042094.56207878
Kirkko,489902.320483725,7146568.61668801
Kirkko,292003.953924534,7019671.61620437
Kirkko,339250.036053668,6989603.96638727
Kirkko,326474.749485915,6944297.03848103
Kirkko,323748.021939967,7032304.77476159
Kirkko,252066.592378825,6882430.34126779
Kirkko,273296.895574808,6963016.64815878
Kirkko,237037.403222899,6897037.93793386
Kirkko,281596.024516622,6936030.58109445
Kirkko,242903.521592588,6960353.67020022
Kirkko,434790.840822744,6901600.42925199
Kirkko,225754.614472718,6920125.84845664
Kirkko,470217.305000496,6978146.39854197
Kirkko,622165.225961402,7113561.90510841
Kirkko,540611.492300282,6929066.96851759
Kirkko,519662.075544397,7026564.21323624
Kirkko,622880.454003946,6935291.22158893
Kirkko,515062.906413252,7002815.97712081
Kirkko,560998.542475181,6987915.29011243
Tapuli,554811.256716009,7008578.07426265
Kirkko,598298.239839183,6953620.85064611
Tuomiokirkko,534776.741122295,6973663.49102479
Kirkko,606154.632909058,7048129.12376125
Kirkko,511054.989055661,6714929.09566046
Kellotapuli,597664.233362954,6795994.04512515
Kirkko,562599.720520574,6821795.43332742
Kirkko,474828.092526254,6706380.66566859
Kirkko,614116.003822665,6798012.42428992
Kirkko,514212.174411392,6818622.93907942
Kirkko,598079.865144692,6795832.81794247
Kirkko,471027.615873617,6709719.47606342
Kirkko,614744.304174641,6895633.4338166
Kirkko,499907.440397778,6733778.31895574
Kirkko,572461.750298559,6851481.41083281
Kirkko,524253.460598527,6798780.40796907
Kirkko,429207.662108383,6818824.66801808
Kirkko,557045.468228003,6781161.38427024
Kirkko,490800.795924058,6808468.2260418
Kirkko,508525.708251379,7050233.66538791
Kirkko,535369.839964972,7122292.54801137
Kirkko,522282.266782042,6916871.18093478
Kirkko,613388.217359258,7014917.73384333
Kirkko,567288.018982714,6993277.71860567
Kirkko,542907.20956488,6894565.23124613
Kirkko,676049.179765418,6900091.68635223
Kirkko,700389.675250489,6955521.09385711
Kirkko,658502.789967105,6854113.80501661
Kirkko,388111.70171818,6973763.61064574
Kirkko,584009.222404797,6923484.39483427
Kirkko,446312.956957772,6920902.99027168
Kirkko,661183.497456037,6965955.32000065
Kirkko,537763.888922799,6708324.92991924
Kirkko,513544.681561477,6839346.27090534
Kirkko,641344.845401886,6943453.72013603
Kirkko,544908.368779537,6863248.99557507
Kirkko,458859.817146837,7212065.80492533
Kirkko,379618.407880727,7107697.78873229
Kirkko,489480.735202404,6728184.98746214
Kirkko,534164.965442288,6827962.21809627
Kirkko,469945.431268213,6731925.4261067
Kirkko,600115.236367333,6885630.25993363
Kirkko,510815.117445091,6714940.5233344
Kirkko,447977.883625416,6827656.15039546
Kirkko,448235.129229918,6785645.09162461
Kirkko,450021.047170917,6791193.47226783
Kirkko,488373.029708905,6834131.55234618
Kirkko,467618.470499578,6755976.16064945
Kirkko,490276.030393062,6729516.40645567
Kirkko,632461.234524684,6825774.87332395
Kirkko,496552.305303877,6703195.97390336
Tuomiokirkko,514115.854704171,6839595.10025685
Kirkko,538437.599139313,6726715.30661141
Kirkko,432253.940858333,7209830.35994367
Kirkko,293860.184179845,6663683.42656776
Kirkko,309608.5264002,7083564.62096858
Tapuli,536802.126627494,6785298.95208031
Tapuli,203635.466982539,6890493.66000265
Hautakappeli,278708.486515214,6656735.12087523
Kirkko,218647.216177779,6725909.10071229
Kirkko,263638.035154431,6995500.9060823
Kirkko,385946.301776835,6671207.38508783
Kirkko,645524.523696162,6962733.18585671
Kirkko,386268.574109455,6673686.45048126
Kirkko,352395.082771341,6700999.34102162
Kirkko,241303.926749301,6712139.85340264
Tuomiokirkko,426040.400330922,6696399.91722099
Tuomiokirkko,598734.016218536,6860953.51281392
Kirkko,385648.808206325,6671730.20866861
Kirkko,119258.867476824,6699082.1312641
Kirkko,262955.930668424,6994752.51841444
Kirkko,277600.929446911,7051594.68835563
Kirkko,203552.785901783,6975194.36941894
Kirkko,303566.755055318,7072457.86171721
Kirkko,155891.673937544,6697500.9331124
Kirkko,240265.544068797,7014270.79552575
Kirkko,158306.18083507,6661427.07584141
Kirkko,215623.728941463,6913723.8915564
Kirkko,456041.255632965,6721295.24984825
Kirkko,292434.510684448,7075978.53509436
Kirkko,125629.796434312,6683700.67211549
Kirkko,115570.979582204,6679885.09876438
Kirkko,448188.919518483,6715752.69801859
Kirkko,224721.129823726,6990235.11791821
Kirkko,272464.815672745,7044342.08460209
Kirkko,326367.05875941,7051257.60696757
Kirkko,299095.239839719,7050119.94853465
Kirkko,148856.674155524,6680655.29199378
Kyrka - Kirkko,229142.419601719,6998207.78510493
Kirkko,313317.779277391,6655940.87254217
Kirkko,344923.655188267,6674419.71122816
Kirkko,116134.970594516,6702313.403548
Kirkko,217831.240409626,6683863.37899698
Kirkko,224758.046468639,6964937.94708395
Kirkko,318721.470698961,7069347.10490274
Kirkko,216619.068314741,6980002.8306706
Kirkko,447334.328461493,6700734.17499539
Kirkko,287311.334639982,7066754.47262552
Kirkko,268546.555380184,7026850.66492983
Kirkko,207784.668636297,6938935.89972527
Kirkko,331508.293202884,7013647.44240747
Kirkko,219559.866224457,7023462.87450474
Kirkko,106152.032001619,6714564.76981793
Kirkko,133951.172664038,6671079.08120371
Kirkko,109339.075559546,6701727.80274535
Kirkko,452442.546544406,6885680.7196627
Kirkko,190822.802002593,6708963.09002361
Kirkko,291621.643599595,6974244.27280835
Kirkko,380902.426016964,6904945.53836473
Kirkko,381064.407382314,6904824.0830866
Kirkko,301512.451374173,6902713.1927522
Kirkko,398486.218965004,7028038.61312642
Kirkko,402720.88879489,7000547.01896066
Kirkko,439133.894030056,6961325.54237845
Kirkko,307369.095268766,7024750.08249729
Kirkko,321348.670904257,6969022.02578158
Kirkko,264223.02008632,6951310.49091313
Kirkko,247379.126746958,6992775.46083878
Kirkko,338615.361664051,7042752.42817204
Tuomiokirkko,297506.521265057,6988221.45779289
Kirkko,500231.345407568,7750671.19336084
Kirkko,500231.345407568,7750671.19336084
Kirkko,418747.86633985,6931375.52861688
Kirkko,359445.098235824,6915785.21198061
Kirkko,451256.390088274,6947545.49726667
Kirkko,358000.203677373,6974765.1067941
Kirkko,288237.367691953,6965724.6969433
Kirkko,411262.610475892,6953913.13115326
Kirkko,387587.645329793,6950786.76751551
Kirkko,343100.936044175,6966169.97630798
Kirkko,363319.779241281,6917465.80989978
Kirkko,385851.392108989,6921535.61150347
Kirkko,287544.634312648,7068169.6945612
Kirkko,405669.182177071,6903369.24921381
Kirkko,405804.537711189,6903825.59632568
Kirkko,297694.064747725,6943013.24979249
Kirkko,291886.335201496,6882017.31533802
Kirkko,234006.131909568,7004368.2611579
Kirkko,428459.805259959,7027607.4908801
Tuomiokirkko,386374.310570862,6672148.99342618
Kirkko,264010.928725184,6677839.56512682
Kirkko,133452.398034263,6696810.98354963
Kirkko,258589.253117204,6664736.81215418
Kirkko,261094.901331733,7011260.95816942
Kirkko,216108.70827373,6954248.11296868
Kirkko,403712.154721086,6693742.58811262
Kirkko,404001.583855875,6693801.20618108
Kirkko,399686.475814881,6680571.8689743
Kirkko,208333.404836662,6917198.09439249
Kirkko,208187.997618346,6917526.49754698
Kirkko,647335.418299534,6946656.69817914
Tuomiokirkko,428167.22621265,7210953.55132133
Kirkko,288487.40642854,6825833.46139852
Kirkko,294743.198662124,6696180.9717867
Kirkko,231984.762130541,6748973.49602152
Kirkko,226466.898748848,6737485.21442792
Kirkko,226104.254762556,6714257.22241831
Kirkko,247554.936393193,6841012.42176516
Kirkko,205950.166180706,6843078.27126749
Kirkko,386344.040076452,6671360.62389651
Kirkko,262778.232723846,6744039.3403546
Kirkko,199064.943914478,6769672.21285775
Kirkko,195281.940205904,6770519.49039687
Kirkko,195315.418333745,6770510.20228743
Kirkko,289716.622683585,6781853.37341785
Kirkko,233507.555180056,6729905.38727975
Kirkko,236246.123758413,6850175.77659087
Kirkko,265814.839098437,6754898.49000618
Kirkko,253400.605069028,6707235.25172008
Kirkko,293763.674818205,6707063.42669457
Kirkko,285390.555915522,6680291.8659681
Kirkko,240688.118851433,6694192.82646791
Kirkko,263171.592480141,6709816.58629692
Kirkko,359103.794494569,6773226.31942967
Kirkko,223370.658428309,6828330.67309832
Kirkko,304234.899326932,7057792.15687889
Kirkko,198486.770049977,6681958.07681571
Kirkko,227295.276266822,7009245.55839819
Kirkko,228111.194314064,7007559.13166546
Kirkko,441860.473150807,6994279.06478456
Kirkko,368264.432756739,6878127.81703412
Kirkko,339978.671839037,7007621.91888531
Kirkko,332078.625269459,6904885.47059135
Kirkko,252799.38406972,7001404.31446065
Kirkko,287997.553802293,7008311.72847657
Kirkko,272576.505633734,6987757.41224801
Kirkko,205839.663621296,6995077.47227103
Kirkko,172843.060103149,6712557.81832709
Kirkko,248166.596631379,6668162.72481959
Kirkko,336829.625131626,6948727.45668225
Kirkko,188476.463499862,6689728.07525507
Kirkko,268642.71017052,6897164.86209881
Kirkko,324409.066539642,6673149.22983096
Kirkko,316032.146302739,6665210.2557861
Kirkko,109022.938135082,6689585.64424649
Kirkko,281853.393808788,7038740.53478131
Kirkko,91095.3594466547,6697474.73844425
Kirkko,333044.378553404,6660206.27433201
Kirkko,300983.051678683,6653861.83572409
Kirkko,249557.307746961,6647783.82288597
Kirkko,98539.3778432883,6697766.93896768
Kirkko,306685.737414426,6667172.87630039
Kirkko,275928.012556144,6764922.54963792
Kirkko,426086.453371315,6696372.46280926
Kirkko,391665.240071685,6699029.06206618
Kirkko,395957.094831764,6712136.05417596
Kirkko,324487.261881101,6691310.0932399
Kirkko,347000.874070711,6714226.82860489
Kirkko,334185.421995392,6707956.87483579
Kirkko,212853.265437368,6814905.51575016
Kirkko,265772.496687977,6764014.34450044
Kirkko,247137.919309612,6702734.90775204
Kirkko,281561.977425524,6755642.08864884
Kirkko,237388.445306267,6720065.51015819
Kirkko,221287.848863433,6704097.6603677
Kirkko,286707.895508558,6699638.36804372
Kirkko,262698.396459372,6697307.92239917
Kirkko,227813.412139004,6870837.08104228
Kirkko,275935.656453807,6832317.51158891
Kirkko,315042.785166575,6695901.14874387
Kirkko,248354.16485158,6777097.0715493
Kirkko,275126.887553569,6670877.19229761
Kirkko,204573.505983805,6726264.06845963
Kirkko,266651.676852658,6724256.81702984
Tuomiokirkko,240402.754917882,6711115.37193287
Kirkko,204643.373022525,6789632.3000399
Kirkko,243230.164222685,6728463.2608204
Kirkko,316902.033400899,6746984.57086147
Kirkko,418542.89114234,6787611.20142866
Kirkko,331383.912887523,6785312.30936148
Kirkko,250842.785397638,6758391.18907742
Kirkko,207080.391074978,6715162.23820498
Kirkko,236498.421856337,6702180.71055727
Kirkko,267768.724887745,6773156.01374019
Kirkko,238699.724203746,6710827.14060152
Kirkko,195571.913566416,6753428.90913511
Kirkko,195995.428375302,6753628.69846857
Kirkko,227282.132391014,6822901.0482827
Kirkko,280987.975958237,6807981.81504935
Kirkko,403322.101548354,7152604.75804894
Kirkko,235123.963299863,6715070.06696616
Kirkko,208855.325551375,6739284.14826015
Kirkko,247119.555814365,6726158.91986232
Kirkko,275444.723621957,6723366.39827199
Kirkko,231440.635357138,6724301.54792499
Kirkko,280024.556248229,6744260.7352903
Kirkko,211059.07691454,6870694.90998079
Kirkko,218209.930808919,6716088.7696122
Kirkko,291558.505169821,6762209.29191366
Kirkko,222408.797182872,6732120.59638036
Kirkko,268484.117847175,6790538.51558236
Kirkko,204277.867728261,6754688.89266911
Kirkko,257748.374899277,6860345.82650671
Kirkko,268985.044642311,6733894.87523105
Kirkko,287306.238708207,6815891.66502233
Kirkko,286414.07133876,6811859.82569153
Kirkko,259520.19244653,6808586.40198743
Kirkko,269648.068244618,6800588.92984969
Kirkko,310590.482768186,6707834.01984257
Kirkko,273931.825585598,6805838.22137163
Kirkko,264328.187584471,6821315.16108544
Kirkko,240418.793085038,6807720.79817858
Kirkko,212099.232451567,6760891.36017484
Kirkko,283027.412382116,6808920.05407352
Kirkko,247134.167450458,6710282.70142053
Kirkko,250260.884411515,6716668.66157687
Kirkko,224675.299421129,6724286.96089414
Kirkko,266562.506292441,6836972.08416416
Kirkko,304983.020042373,6684144.10185666
Kirkko,212731.993805307,6765252.50247698
Kirkko,236158.313762505,6796787.27366578
Kirkko,213130.457739222,6777299.55033533
Kirkko,249521.421832585,6785014.57996343
Kirkko,292409.682447273,6715403.67906039
Kirkko,190501.189337517,6725282.80819231
Kirkko,242164.751664579,6824333.27675675
Kirkko,283652.076316758,6702397.20649015
Kirkko,221377.126619625,6785443.58264118
Kirkko,422619.63656227,6724305.51711708
