"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1"
"Maksamaa","Grisgrund badplats",7038226,3253870
"Turku","Saaronniemen uimaranta",6711229,3230121
"Kauhajoki","Hiukkajärven uimapaikka",6921195,3246180
"Vähäkyrö","Kirkkosaaren uimapaikka",7004085,3253305
"Masku","Humikkalan uimapaikka",6725150,3233142
"Kokemäki","Järilänvuori /maastohiihto",6804221,3242209
"Kankaanpää","Venesjärven uimaranta",6866503,3246899
"Ilmajoki","Kalajaisjärven uimapaikka",6967237,3255873
"Ilmajoki","Kalajaisjärvi/vapaa uimaranta",6967317,3255906
"Kauhajoki","Sotkan laskettelukeskus",6932292,3253368
"Köyliö","Tuiskulan uimapaikka",6794655,3243450
"Turku","Ekvallan uimaranta",6706014,3237008
"Turku","Hirvensalon laskettelurinne",6710124,3237325
"Kauhajoki","Sotkan hiihtourheilukeskus",6932218,3253883
"Kauhajoki","Sotkan hiihto- ja ampumahiihtostadion",6931930,3254108
"Turku","Brinkhallin ranta (kakskerran järvi)",6704469,3237511
"Kauhajoki","Hyypän ampumahiihtoalue",6922005,3253516
"Kiukainen","Kotkaniemen kesäsiirtola",6783247,3243552
"Turku","Sorttamäen uimaranta",6709191,3238751
"Turku","Ispoisten uimaranta",6709737,3239185
"Turku","Samppalinnan maauimala",6713239,3239703
"Kauhajoki","Monitoimikeskus asuuli",6935393,3256108
"Kokemäki","Pitkäjärven toimintakeskus /uinti",6799198,3246376
"Kokemäki","Pitkäjärven uimaranta",6799139,3246391
"Köyliö","Ilmijärven uimapaikka",6795778,3246189
"Pöytyä","Uimapaikka",6768876,3244986
"Turku","Kupittaan uimala",6713079,3241093
"Köyliö","Köyliön ampumahiihtoalue",6788620,3246927
"Kurikka","Miedon uimaranta",6950510,3259645
"Kaarina","Kuusiston uimaranta",6706059,3242206
"Noormarkku","Kairilan uimaranta",6851882,3252667
"Kauhajoki","Laitasaaren ampumahiihtoalue",6941527,3259587
"Isokyrö","Pukkilansaaren uimapaikka",6996624,3263939
"Köyliö","Pappilan uimapaikka",6786856,3248951
"Turku","Maarian mahti ry ulkoilumaja",6720681,3244869
"Turku","Maarian ranta",6722332,3245236
"Köyliö","Yttilän ottan rantauimala",6786271,3250053
"Kurikka","Paavalin ampumahiihtoalue",6957617,3262615
"Loimaa","Vaapukkarannan rantauimala",6778209,3249883
"Isokyrö","Ylipään hiihtoalue",6993936,3265835
"Kaarina","Littoisten hiekkaranta",6714247,3245919
"Kaarina","Hovirinnan uimaranta",6707233,3245473
"Ilmajoki","Ollinjärvi",6972878,3264458
"Isokyrö","Kalliojärven uimapaikka",6992542,3265914
"Lieto","Metsäpirtti",6720182,3246548
"Köyliö","Kankaanpään uimapaikka",6783038,3251072
"Lieto","Järvelän uimapaikka",6714234,3246514
"Isokyrö","Orisbergin uimapaikka",6983977,3265688
"Kokemäki","Pälpälän uimaranta",6804704,3252963
"Kankaanpää","Keskustan uimaranta",6863400,3257168
"Kankaanpää","Uimaranta",6863409,3257176
"Kaarina","Ristikallion koulun uimaranta",6712908,3246954
"Kurikka","Pitkämön uimaranta",6950507,3264226
"Aura","Koivuniemen uimaranta",6745727,3250036
"Kauhajoki","Seurakunnan leirikeskuksen uimapaikka",6918773,3262590
"Kauhajoki","Salakarin uimapaikka",6918734,3263430
"Kauhajoki","Nummijärven leirintäalueen uimapaikka",6916366,3263389
"Kauhajoki","Nummijärven ampumahiihtoalue",6916246,3263416
"Ylistaro","Kärkimäen ampumahiihtoalue/kilpahiihtok.",6993970,3271390
"Kankaanpää","Niinisalon uimaranta",6867646,3262663
"Ilmajoki","Ilmajoen hiihtokeskus",6959800,3269106
"Ilmajoki","Tiilitehtaan uimapaikka",6962476,3269374
"Kokemäki","Kauvatsanjoki, Yttilä 1",6811259,3259058
"Kokemäki","Kauvatsanjoki, Rutuna 2",6810096,3259571
"Kokemäki","Kauvatsanjoki, Ahvenus 3",6806940,3260407
"Kankaanpää","Ampumahiihto- ja hiihtoalue",6861005,3264144
"Kankaanpää","Maauimala",6860214,3264174
"Kankaanpää","Vihteljärven uimapaikka",6855074,3263839
"Lieto","Parmaharjun hiihtokeskus",6721139,3255374
"Kurikka","Luovan uimaranta",6950177,3271324
"Ylistaro","Rajamäen uimapaikka",6996056,3275281
"Kauhajoki","Ikkelänjärven uimapaikka",6929328,3272470
"Kemiö","Eknäsin leirialueen rantauimala",6687275,3256318
"Karvia","Sarvelan uimaranta",6904344,3271455
"Kurikka","Luovan alueen uimaranta",6953191,3275299
"Alastaro","Virttaan kilpahiihtokeskus",6769424,3264873
"Jalasjärvi","Korvajärven uimapaikka",6929555,3276081
"Karvia","Rastiaisten uimaranta",6901551,3274755
"Luoto","Sonamo simstrand",7084857,3287812
"Paimio","Paimion maauimala",6715134,3263348
"Jämijärvi","Urheilukentän uimaranta",6863875,3273320
"Luoto","Kackur simstrand",7081530,3288349
"Jämijärvi","Jämin hiihtokeskus",6859861,3274248
"Suodenniemi","Putajan uimaranta",6828289,3272289
"Jämijärvi","Jämin hiihtohissi",6859918,3275127
"Luoto","Skidskyttebana",7080283,3290125
"Jalasjärvi","Kiuaskallio rinnehiihtokeskus",6940612,3281966
"Luoto","Assarskär simstrand",7075532,3290895
"Suodenniemi","Saharanta",6834847,3275087
"Jalasjärvi","Kiuaskallio maastohiihtokeskus",6940060,3281998
"Suodenniemi","Kelaranta",6834427,3275378
"Luoto","Annäsgrundets simstrand",7084667,3292447
"Luoto","Fagernäs simstrand",7077878,3292539
"Seinäjoki","Jouppilanvuoren laskettelukeskus",6971178,3286190
"Alahärmä","Hakolan uimapaikka",7013993,3289157
"Seinäjoki","Jouppilanvuoren hiihtostadion",6970857,3286404
"Seinäjoki","Kyrkösjärven rantauimala",6969703,3286474
"Seinäjoki","Tärnävän rantauimala",6968679,3287625
"Seinäjoki","Sahanlammen rantauimala",6970483,3287809
"Kihniö","Naarminjärven uimaranta",6908886,3302195
"Ypäjä","Piilinkankaan uimapaikka",6743827,3293478
"Karkkila","Saarlammen uimala",6714136,3343971
"Halsua","Halsuan järven uimaranta",7042802,3358500
"Tornio","Kivirannan uimapaikka",7310018,3370638
"Lohja","Lehmijärven uimapaikka",6691801,3343455
"Ähtäri","Inhan tehtaan uimapaikka",6938103,3354223
"Kangasala","Raikun uimapaikka",6814522,3348861
"Tornio","Aapajärven uimapaikka",7334677,3371978
"Soini","Vuorenmaan rinnehiihtokeskus",6984567,3356397
"Ähtäri","Mekkorannan rantauimala",6940368,3354609
"Lohja","Muijalan kilpahiihtokeskus",6689796,3344249
"Tornio","Pirkkiön uimapaikka",7306737,3371335
"Karkkila","Pyhäjärven uimala",6717463,3345957
"Pyhäjoki","Pyhäluodon rantauimala",7155628,3365348
"Karkkila","Tuorilan uimala",6718385,3346399
"Tornio","Yliliakan uimapaikka",7318584,3372722
"Lohja","Nälköönlammen uimaranta",6690845,3345713
"Ähtäri","Ähtärinrannan uimapaikka",6958857,3347129
"Kangasala","Suoramajärven uimapaikka",6820703,3340877
"Ähtäri","Pusaan uimapaikka",6931545,3345988
"Saarijärvi","Summassaaren uimaranta",6951593,3414850
"Liminka","Rantakylän uimapaikka",7191046,3421560
"Oulunsalo","Papinjärven uimapaikka",7205354,3421999
"Haukipudas","Kirkonrannan uimaranta",7232648,3422847
"Hollola","Laitialan uimapaikka",6776845,3411191
"Rovaniemen mlk","Pasmajärven uimapaikka",7365484,3426646
"Ii","Seljänperän uimaranta",7260709,3423997
"Haukipudas","Niemeläntörmän uimaranta",7232602,3423271
"Petäjävesi","Ylä-Kintauden uimapaikka",6916239,3415763
"Padasjoki","Maakesken uimapaikka",6797692,3413102
"Rovaniemen mlk","Muurolan uimapaikka",7364747,3427621
"Ii","Vihkosaaren uimala",7249223,3424662
"Oulunsalo","Niemenranta",7208463,3423662
"Saarijärvi","Hiihdon tekniikkarata Lannevesi",6945712,3417316
"Korpilahti","Saakosken uimapaikka",6875300,3415657
"Oulu","Pateniemen uimapaikka",7221477,3424406
"Ii","Illinsaaren hiihtokeskus",7249331,3425127
"Saarijärvi","Lanneveden uimaranta",6946072,3417633
"Uurainen","Uimapaikka Tehlo",6927829,3417384
"Kuhmoinen","Tehin uimaranta",6829403,3415087
"Korpilahti","Sarvenperän uimapaikka",6904171,3417047
"Pornainen","Laukkosken koulun uimaranta",6704206,3412219
"Asikkala","Viitailan uimapaikka",6779877,3414221
"Oulu","Rajahaudan uimapaikka",7219340,3425183
"Haukipudas","Aseman uimaranta",7234040,3425684
"Oulu","Nallikarin uimaranta",7216030,3425272
"Uurainen","Uimapaikka Nevala",6932646,3418986
"Viitasaari","Kotvalan uimapaikka",7011656,3421034
"Uurainen","Akon uimaranta",6932659,3419118
"Tampere","Suolijärven uimaranta",6819051,3331305
"Karjaa","Svartå bruks simplats",6675513,3324491
"Alajärvi","Hauta-ahon uimapaikka",6991685,3339964
"Kalajoki","Tapiolandin maauimala",7130604,3347094
"Tampere","Laskettelukeskus Hervanta",6821087,3332272
"Tampere","Hervantajärven uimaranta",6818178,3332775
"Lehtimäki","Valkealammen hiihtokeskus",6967328,3340036
"Töysä","Valkeislammen uimaranta",6960043,3339855
"Janakkala","Valajärven uimaranta",6745172,3364117
"Orivesi","Rönnin rantauimala",6837089,3367946
"Hämeenlinna","Idänpään uimaranta",6768184,3365393
"Raahe","Mikonkarin uimaranta",7181835,3381565
"Tornio","Ruottalan uimapaikka",7308084,3386714
"Espoo","Siikajärven uimapaikka",6688068,3362833
"Keminmaa","Kallin kilpahiihtokeskus",7305319,3386810
"Janakkala","Rehakanjärven uimaranta",6750664,3365619
"Keminmaa","Kallin laskettelukeskus",7305207,3387124
"Raahe","Hiihtomajan ampumahiihtoalue",7176385,3382399
"Keminmaa","Pappilanrannan uimapaikka",7303743,3388142
"Kemi","Kemin avantouintipaikka",7294927,3387971
"Espoo","Solvallan urh.opiston uimaranta",6689366,3364965
"Espoo","Solvallan uimapaikka",6689310,3364990
"Orivesi","Eräjärven rantauimala",6833211,3370380
"Perho","Korpijärven uimapaikka",7022623,3377684
"Kemi","Mansikkanokan uimaranta",7294691,3388268
"Merijärvi","Ylipään hyttikallion uimapaikka",7139285,3382860
"Janakkala","Pappilanranta",6756182,3368813
"Keminmaa","Liedakkalan uimapaikka",7308728,3390010
"Kemi","Ajoksen uimaranta",7290900,3389429
"Multia","Väätäiskylän uimapaikka",6944773,3376368
"Espoo","Kallvikin uimapaikka",6674748,3366499
"Janakkala","Kalpalinnan hiihtokeskus",6760402,3369768
"Janakkala","Tietyn uimaranta",6746127,3369625
"Kyyjärvi","Kalliorannan uimapaikka",6995742,3378892
"Mänttä","Tiiliruukinrannan uimapaikka",6884600,3375038
"Kemi","Takajärven uimala",7295844,3390867
"Janakkala","Suruttoman uimaranta",6745984,3370433
"Janakkala","Kernaalan uimaranta",6752136,3370795
"Espoo","Kattilajärven uimapaikka",6689881,3368579
"Kuhmalahti","Siuronsalmen uimapaikka",6824480,3373585
"Espoo","Kivenlahden rantauimala",6673704,3368322
"Perho","Ulkoilukeskuksen uimapaikka",7014252,3380944
"Hyvinkää","Rytkön uimaranta/leirikeskus",6724937,3370459
"Mänttä","Rusinlahden uimaranta",6883223,3376641
"Keuruu","Maastoliikuntakeskus",6902878,3377540
"Hyvinkää","Hirvijärven uimaranta/ulkoilualue",6729740,3371561
"Mänttä","Keskisenlahden rantauimala",6882873,3377144
"Hyvinkää","Sääksjärven uimaranta",6713852,3371082
"Espoo","Klobbenin rantauimala",6671602,3369627
"Mänttä","Mäntänvuoren kilpahiihtokeskus",6881482,3377170
"Espoo","Sorvalammen uimapaikka",6689486,3370310
"Kemi","Paavonkarin uimala",7289306,3392281
"Nurmijärvi","Sääksjärven Röykän uimaranta",6712060,3371225
"Espoo","Myllyjärven (etelä) uimapaikka",6688024,3370483
"Riihimäki","Hirvijärven uimaranta",6731023,3372129
"Keuruu","Lomahotellin uimapaikka",6902106,3378277
"Espoo","Luukkaan ulkoilualue, Kaitalampi",6691988,3370934
"Espoo","Oittaan rantauimala",6683320,3370651
"Keuruu","Otavan uimapaikka",6908733,3378976
"Keuruu","Ketvelniemen uimapaikka",6909004,3379224
"Nurmijärvi","Vahaksen uimapaikka",6710464,3372139
"Riihimäki","Paalijärven uimapaikka",6732286,3373104
"Raahe","Romuperän uimapaikka",7164505,3388779
"Mänttä","Tammirannan uimapaikka",6881741,3378619
"Ylivieska","Huhmarkallion kilpahiihtokeskus",7103230,3387044
"Multia","Koskikalastusalue",6933567,3381061
"Nurmijärvi","Sääksjärven iso uimaranta",6713739,3373327
"Espoo","Luukkaan uimapaikka",6691287,3372556
"Ylivieska","Huhmarkallion rinnehiihtokeskus",7103460,3387276
"Espoo","Suinonsalmen uimaranta",6670709,3371942
"Riihimäki","Riutan hiihtokeskus",6737142,3374583
"Keminmaa","Länsikosken uimapaikka",7318675,3395541
"Mänttä","Juurakonrannan uimapaikka",6883919,3379958
"Kauniainen","Kauniaisten pujottelurinne",6680935,3372882
"Espoo","Myllyljärven (pohj.) uimapaikka",6692419,3373292
"Keuruu","Nyyssäniemen uimapaikka",6906429,3380987
"Nurmijärvi","Valkjärven lähtelän uimaranta",6700297,3373777
"Espoo","Svinön uimapaikka",6670289,3372758
"Janakkala","Rahitunlammen uimaranta",6750947,3375632
"Keuruu","Terveyskeskuksen uimapaikka",6908351,3381272
"Keuruu","Kylmälahden uimapaikka",6909809,3381326
"Tervola","Paakkolan uimapaikka",7326003,3396401
"Keuruu","Lapinsalmen rantauimala",6907405,3381364
"Keuruu","Päkärin uimapaikka",6907711,3381448
"Tervola","Törmävaaran hiihtokeskus",7339336,3396988
"Nurmijärvi","Valkjärven Tiiran uimaranta",6700319,3374532
"Tervola","Ylipaakkolan uimapaikka",7326153,3396843
"Kuhmalahti","Kuhmajärven uimaranta",6822421,3379370
"Espoo","Lippajärven uimapaikka",6682104,3374621
"Espoo","Serena Ski laskettelukeskus",6692742,3375224
"Nurmijärvi","Herusten uimapaikka",6719508,3376235
"Espoo","Laaksolahden uimaranta",6683812,3375540
"Tuulos","Rouvin ranta",6785271,3379113
"Espoo","Matinkylän rantauimala",6673067,3375466
"Hyvinkää","Usmin eteläinen ranta",6726542,3377654
"Tuulos","Leheen uimaranta",6787261,3379740
"Hyvinkää","Usmin pohjoinen ranta",6726924,3377718
"Riihimäki","Maauimala",6738903,3378463
"Espoo","Odilammen uimapaikka",6690156,3376828
"Espoo","Haukilahden rantauimala",6673425,3376517
"Karstula","Leirintäalueen uimaranta",6978005,3386980
"Tervola","Alatossavan uimapaikka",7329726,3399384
"Keuruu","Hakolanhiekan uimapaikka",6900522,3384804
"Karstula","Rantauimala",6976014,3387418
"Espoo","Toppelundin uimaranta",6673643,3377300
"Multia","Keskustan uimapaikka",6924373,3385875
"Tervola","Kaisajoen uimapaikka",7334072,3400210
"Riihimäki","Räiskylän ampumahiihtoalue",6739687,3379919
"Tuulos","Kirkon ranta",6783810,3381566
"Espoo","Leppävaaran hiihtokeskus",6681354,3378191
"Tuulos","Pannujärven ranta",6778066,3381534
"Espoo","Westendin uimaranta",6674372,3378082
"Tervola","Kirkonkylän uimapaikka",7335059,3400948
"Jämsä","Leiriniemen uimapaikka",6876185,3385373
"Multia","Leirintäalueen uimapaikka",6924291,3387110
"Pylkönmäki","Vihannin uimaranta",6959505,3388347
"Vantaa","Keimolan hiihtokeskus",6692821,3379476
"Siikajoki","Uimapaikka",7200905,3396848
"Hyvinkää","Sveitsin hiihtokeskus",6728958,3380899
"Pylkönmäki","Jokilahden uimapaikka",6961200,3388758
"Pylkönmäki","Papinkallion uimapaikka",6955350,3388754
"Jämsä","Järvensivun uimapaikka",6862341,3385837
"Espoo","Laajalahden uimaranta",6678943,3379801
"Hyvinkää","Hiihtomaa",6727217,3381518
"Hyvinkää","Sveitsin uimala (ulko)",6726436,3381544
"Jämsä","Hallin uimala",6862891,3386301
"Helsinki","Malminkartanon laskettelurinne",6684169,3380899
"Jämsä","Patalahden rantauimala",6864156,3407859
"Haukipudas","Alkeistekniikkarinne",7227523,3418442
"Haukipudas","Virpiniemen urheilu- ja ulkoliikuntakesk",7227590,3418447
"Haukipudas","Meriniemen uimaranta",7226724,3418455
"Saarijärvi","Autiolahden uimala",6957756,3411259
"Saarijärvi","Mansikkaniemen uimala",6956264,3411299
"Haukipudas","Virpiniemen ampumahiihtoalue",7227563,3418712
"Kannonkoski","Kirkonkylän uimapaikka",6986814,3412180
"Padasjoki","Kirkonkylän uimapaikka",6806526,3407809
"Haukipudas","Ingon uimaranta",7232480,3419372
"Padasjoki","Kellosalmen uimapaikka",6814839,3408356
"Uurainen","Huutoniemen uimaranta",6930637,3411783
"Sipoo","Molnträsk simstrand",6690348,3405977
"Saarijärvi","Paavon rinteet",6955153,3413031
"Oulunsalo","Peuhun uimapaikka",7203625,3419672
"Saarijärvi","Kusiaismäen hiihtokeskus",6955177,3413111
"Jämsä","Hiihtokeskus himosvuori",6864461,3410884
"Haukipudas","Ongan uimaranta",7234524,3420801
"Uurainen","Uimapaikka kyynämöinen",6931739,3412939
"Haukipudas","Kiviniemen uimaranta",7225322,3421198
"Oulunsalo","Kisakankaan hiihtokeskus",7206224,3420787
"Haukipudas","Koljun uimaranta",7239131,3421838
"Petäjävesi","Kintauden uimapaikka",6909615,3413496
"Rovaniemen mlk","Lehtojärven uimapaikka",7395169,3426295
"Oulunsalo","Varjakka",7211228,3421429
"Padasjoki","Nyystölän uimapaikka",6801980,3410801
"Sipoo","Savijärvi simstrand",6695968,3408312
"Haukipudas","Siikasaaren uimaranta",7233739,3422213
"Helsinki","Kivinokan ulkoilupuisto/uimaranta",6677599,3389557
"Helsinki","Iltatähdenpuisto/lasten kahluuallas",6687224,3389873
"Helsinki","Hylkeen venesatama",6675934,3389698
"Helsinki","Kotinummenpuisto/lasten kahluuallas",6684552,3390279
"Helsinki","Pyysaaren venesatama",6675902,3390540
"Nivala","Erkkilän uimapaikka",7098482,3403425
"Helsinki","Leikkipuisto Tapuli/lasten kahluuallas 1",6686280,3391020
"Helsinki","Leikkipuisto Tapuli/lasten kahluuallas 2",6686287,3391020
"Padasjoki","Vesijaon uimapaikka",6806824,3394661
"Tuusula","Urheilukeskuksen uimapaikka",6699385,3391528
"Kivijärvi","Hoikanperän uimapaikka",7008042,3401170
"Tuusula","Urheilukeskuksen kilpahiihtoalue",6699424,3391849
"Helsinki","Tuorinniemen uimaranta",6676532,3391304
"Helsinki","Hevossalmen uimaranta",6673963,3391386
"Helsinki","Herttoniemen aluepuisto/kahluuallas",6679256,3391696
"Jämsä","Mustingan uimapaikka",6872083,3397882
"Helsinki","Roihuvuoren lask.rinne/lask.rinne k 20",6678209,3392111
"Helsinki","Roihuvuoren aluep./lasten kahluuallas",6678023,3392106
"Järvenpää","Niemennokan uimaranta",6706060,3392994
"Helsinki","Hevossalmen venesatama",6673484,3392288
"Nivala","Sarjankylän uimapaikka",7103625,3405267
"Helsinki","Furuvikin uimaranta",6673586,3392481
"Järvenpää","Retkeilymajan uimaranta",6706451,3393604
"Helsinki","Laajasalon uimaranta",6675512,3392705
"Helsinki","Strömsinlahden venesatama",6677752,3392867
"Helsinki","Jollaksen uimaranta/uimapaikka",6674209,3392766
"Tuusula","Tuomalan kylänranta",6704948,3393679
"Helsinki","Kurkimäenpuisto/lasten kahluuallas",6681588,3393279
"Helsinki","Kiikunpuisto/lasten kahluuallas",6682037,3393525
"Helsinki","Marjaniemen uimaranta",6677908,3393424
"Helsinki","Jakomäen leikkipuisto/lasten kahluuallas",6684762,3393847
"Helsinki","Suopuisto/lasten kahluuallas",6682639,3393913
"Kivijärvi","Tiaisniemen uimapaikka",7003741,3403386
"Helsinki","Mustapuron leikkipuisto/kahluuallas",6680014,3393849
"Helsinki","Ystävyyden puisto/lasten kahluuallas",6678748,3393929
"Jämsänkoski","Survosenkoski",6890496,3400205
"Vantaa","Leppäkorven uimala",6695614,3394814
"Padasjoki","Auttoisten uimapaikka",6799621,3397934
"Kerava","Maauimala",6701185,3395085
"Kivijärvi","Puralankylän uimapaikka",7010981,3404328
"Lumijoki","Varjakan rantauimala",7204026,3410314
"Tuusula","Kellokosken uimaranta",6715225,3396051
"Padasjoki","Toritun uimapaikka",6815142,3399081
"Padasjoki","Mylly-Mäkelän uimapaikka",6810709,3399126
"Helsinki","Puotilan uimaranta",6679018,3395382
"Kinnula","Karvasaaren laavu",7025170,3405596
"Vantaa","Vantaan ulkoilukeskus Kuusijärvi uinti",6690628,3395903
"Rovaniemen mlk","Ylikylän uimapaikka",7383470,3441449
"Lahti","Merrasjärven uimaranta",6768702,3428759
"Äänekoski","Mämmen ranta",6950856,3432496
"Muurame","Kylänlahden uimaranta",6892410,3431382
"Jyväskylän mlk","Korttajärven uimapaikka",6914483,3431844
"Muurame","Kotirannan uimaranta",6892719,3431501
"Askola","Abborsjön uimapaikka",6712135,3427933
"Muurame","Jaakkolan uimaranta",6891982,3431687
"Muurame","Laskettelukeskus Riihivuori",6889869,3431697
"Jyväskylä","Vuorilammen uimapaikka",6906792,3432161
"Sysmä","Rantauimala",6821882,3430488
"Lahti","Möysän uimaranta",6764075,3429340
"Askola","Tiiläänjärven uimapaikka",6714808,3428381
"Äänekoski","Likolahden ranta",6947434,3433055
"Viitasaari","Lonnikon uimapaikka",6988760,3433965
"Oulu","Sankivaaran ampumahiihtoalue",7210067,3438521
"Varkaus","Honkakosken uimaranta",6916617,3541473
"Lemi","Lahnajärven rantauimala",6773144,3543234
"Varkaus","Turjanvirran uimapaikka",6911712,3542706
"Varpaisjärvi","Karjalaisen uimapaikka",7025493,3541407
"Virolahti","Kiiskijärven uimaranta",6717677,3545629
"Varkaus","Hanhenkaulan uimaranta",6911286,3543532
"Varpaisjärvi","Syvärinpään uimapaikka",7036489,3542242
"Varkaus","Vatuski-hiihtokeskus",6914526,3544113
"Leppävirta","Timolan uimapaikka",6918062,3544210
"Varkaus","Häyrilän uimaranta",6910027,3544442
"Kajaani","Saarijärven uimapaikka",7132004,3542088
"Varkaus","Hertunniemen uimaranta",6913271,3545255
"Joroinen","Kanavan kangas",6898311,3545738
"Varkaus","Pussilantaipaleen uimaranta",6916188,3545822
"Varkaus","Kankunharjun uimaranta",6914724,3546006
"Varkaus","Kommilan uimaranta",6913842,3546788
"Joroinen","Kuvansin uimaranta",6907313,3546885
"Kajaani","Kuluntalahden uimapaikka",7130375,3543787
"Miehikkälä","Muurikkalan uimapaikka",6727729,3549424
"Varkaus","Kämärin uimaranta",6911443,3546963
"Varkaus","Puurtilannimen uimaranta",6914800,3547112
"Varpaisjärvi","Karsanlahden uimapaikka",7029753,3549702
"Posio","Anetjärven uimapaikka",7314768,3545269
"Nilsiä","Halunan uimapaikka",7000614,3550370
"Sotkamo","Kontienjoen uimapaikka",7119637,3548744
"Vehmersalmi","Kirkonkylän uimala",6962562,3552097
"Kangaslampi","Huhtaus veneidenlaskupaikka",6905189,3553065
"Nilsiä","Tahkovuoren laskettelukeskus",7021479,3551613
"Lappeenranta","Tanin uimaranta",6757460,3556150
"Lappeenranta","Rutolan uimaranta",6770463,3556028
"Vehmersalmi","Kirkonkylän hiihtomaa",6962468,3553061
"Helsinki","Rastilan uimaranta",6678837,3395685
"Vantaa","Hakunilan hiihtokeskus",6686750,3396134
"Helsinki","Mellunmäen leikkip./lasten kahluuallas",6681871,3396145
"Simo","Malinin hiihtokeskus/toimitalo",7290274,3414116
"Helsinki","Kallahden kainalo/uimaranta",6677820,3396476
"Kerava","Keinukallion laskettelukeskus",6698484,3397325
"Jämsänkoski","Toijalan ranta",6871918,3402446
"Helsinki","Lohikäärmepuisto/lasten kahluuallas",6679258,3397023
"Jämsänkoski","Vihatinsalmen ranta",6877464,3402788
"Helsinki","Kallahdenniemi/uimaranta",6676374,3397177
"Jämsänkoski","Varpaisniemen uimaranta",6875738,3403047
"Jämsänkoski","Rasuan uimaranta",6873563,3403018
"Tervola","Ossauksen uimapaikka",7341747,3416827
"Jämsänkoski","Virtasalmen ranta",6870820,3403233
"Jämsänkoski","Alenin uimaranta",6870823,3403248
"Jämsänkoski","Rekolan ranta",6871471,3403308
"Nivala","Karvoskylän uimapaikka",7087826,3409577
"Jämsänkoski","Yläkosken ranta",6869876,3403449
"Valkeakoski","Aholanrannan uimapaikka",6793739,3339850
"Valkeakoski","Roukon hiihtomaa",6801208,3340716
"Lohja","Haikarin avantouintipaikka",6685069,3335724
"Tampere","Pulesjärvi",6836356,3342702
"Ähtäri","Mustikkavuoren hiihtokeskus",6941502,3348124
"Ähtäri","Mustikkavuoren sauna",6942264,3348317
"Valkeakoski","Sointulan uimapaikka",6799893,3342917
"Valkeakoski","Korkeakankaan hiihtomaa",6797416,3343403
"Valkeakoski","Leppälän uimapaikka",6798414,3346342
"Pyhäjoki","Helaakosken uimaranta",7144391,3371684
"Orivesi","Säynäniemen rantauimala",6838508,3359201
"Ylitornio","Lohijärven uimaranta",7375369,3382234
"Orivesi","Hiedan rantauimala",6839852,3360220
"Vihti","Vihdin pirtin ulkoilu- ja leirikeskus",6710758,3358864
"Keminmaa","Kylmäuintipaikka/avantouinti",7302807,3388150
"Kyyjärvi","Harsunkankaan hiihtokeskus",6994894,3376705
"Oulainen","Koskikeitaan uimaranta",7130970,3384232
"Janakkala","Liinalammen uimala",6759165,3371475
"Kuhmalahti","Vedentaustan uimaranta",6824596,3373947
"Multia","Avantouintipaikka",6924342,3386884
"Kivijärvi","Koirajärven urheilukalastusalue",7016675,3390768
"Kuhmalahti","Vehkajärven uimaranta",6823386,3384566
"Helsinki","Lehtisaari/uimaranta",6675622,3380886
"Helsinki","Munkkiniemi, Kasinonlahti/uimapaikka",6677619,3382134
"Helsinki","Lauttasaari, Särkiniemi/uimapaikka",6672325,3381974
"Helsinki","Lauttasaari/kalliokiipeilyseinä",6673514,3382390
"Helsinki","Haaga/kalliokiipeilyseinä",6681130,3382848
"Helsinki","Korppaanpuisto/lasten kahluuallas",6678855,3383061
"Helsinki","Tilkanniitty/lasten kahluuallas",6678759,3383179
"Helsinki","Meilahti/kalliokiipeilyseinä",6676984,3383349
"Helsinki","Paloheinä/hiihtomaa",6684317,3384422
"Helsinki","Tullinpuomin puisto/lasten kahluuallas",6677618,3384238
"Helsinki","Pihlajasaaren ulk.puisto/naturistiranta",6671443,3384673
"Helsinki","Katajanokka/talviuintipaikka",6674795,3387148
"Helsinki","Särkän venesatama",6672743,3387166
"Helsinki","Savelan laiturit, Vantaanjoki/uimapaikka",6682232,3388729
"Helsinki","Kiertotähdenkuja, Keravanjoki/uimapaikka",6687150,3389097
"Helsinki","Pihlajamäki/kalliokiipeilyseinä",6681456,3389983
"Jyväskylän mlk","Ritopohjan uimapaikka",6909131,3435032
"Lahti","Herrasmannin uimaranta",6767039,3432398
"Äänekoski","Äänemäki",6945419,3435926
"Myrskylä","Teenojärven uimapaikka",6721952,3431679
"Jyväskylän mlk","Ritoniemen uimapaikka",6908221,3435265
"Jyväskylä","Lohikosken uimaranta",6907600,3435299
"Rovaniemi","Pöykkölän uimaranta",7377029,3444683
"Jyväskylä","Ristikiven uimapaikka",6900846,3435407
"Jyväskylä","Lehtisaaren uimapaikka",6892387,3435251
"Korpilahti","Oittilan uimapaikka",6872435,3434903
"Jyväskylä","Heinälammen uimapaikka/Tyyppälänlahti",6908288,3435673
"Lahti","Kaukkarin uimaranta",6764613,3433005
"Yli-Ii","Leuvan uimapaikka",7265251,3442766
"Jyväskylä","Tikan uimaranta",6901713,3435744
"Muurame","Kinkomaan uimaranta",6894779,3435770
"Rovaniemen mlk","Välijoen uimapaikka",7349114,3444649
"Jyväskylä","Muuratsalon uimala",6891277,3436073
"Sysmä","Liikolan uimapaikka",6831111,3435103
