"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1"
"Anjalankoski","Sihvakan uimala",6731087,3489485
"Vieremä","Sotkun uimala",7071101,3500703
"Vammala","Ellivuoren pujottelukeskus",6816757,3289612
"Salo","Lehmijärven uimala",6694098,3283300
"Ikaalinen","Kiviniemen uimapaikka",6858652,3293353
"Kokkola","Valkohiekka",7095721,3307832
"Mouhijärvi","Särkijärven uimapaikka",6828722,3291959
"Hämeenkyrö","Kelhäjärven uimapaikka",6833408,3292973
"Tammisaari","Framnäs simstrand",6661211,3282765
"Kokkola","Punakallio",7093758,3308792
"Peräseinäjoki","Kalajärven uimaranta",6946965,3300225
"Kokkola","Halkokarin rantauimala",7090183,3309321
"Lapua","Hirvijärven uimapaikka",6976285,3302422
"Kauhava","Oijärven uimapaikka",7001609,3304108
"Kihniö","Pyhäniemen uimaranta",6903671,3298473
"Hämeenkyrö","Niemen rantauimala",6848732,3295577
"Punkalaidun","Porttikallion aluehiihtokeskus",6782091,3291737
"Kihniö","Taupilan uimaranta",6898982,3299614
"Hämeenkyrö","Herttualan uimapaikka",6838040,3296392
"Mouhijärvi","Otamussillan uimapaikka",6825260,3296520
"Kihniö","Aitolahden uimala",6908128,3301440
"Kihniö","Korhosjärven uimaranta",6909105,3301731
"Pieksänmaa","Vangasjärven rantauimala",6909816,3504429
"Haukivuori","Syväsalmen rantauimala",6880698,3508779
"Hamina","Salmenvirran uimala",6718858,3509619
"Iisalmi","Hiekkarannan uimapaikka",7050466,3509195
"Haukivuori","Pitkähiekan uimaranta",6880819,3510484
"Hamina","Pitkienhiekkojen rantauimala",6712812,3513971
"Lapinlahti","Kirkonkylän uimala",7028924,3518602
"Luumäki","Taavetin rantauimala",6757953,3529392
"Mikkeli","Kirkonkylän uimala",6831529,3534358
"Kuopio","Kirveslahden uimala",6969713,3533304
"Lemi","Kotalahden uimapaikka",6767428,3535938
"Siilinjärvi","Siilinlahden rantauimala",6996810,3534085
"Miehikkälä","Myllylammen rantauimala",6730225,3537806
"Kuopio","Väinölänniemen uimala",6975874,3535693
"Virolahti","Huvisaaren rantauimala",6718110,3540560
"Kajaani","Kesäniemen uimala",7125282,3537284
"Joroinen","Kolpan uimaranta",6897381,3540705
"Luumäki","Jurvalan rantauimala",6761096,3542352
"Varkaus","Hertunniemen uimaranta",6913271,3545255
"Kangaslampi","Huhtaus veneidenlaskupaikka",6905189,3553065
"Lappeenranta","Myllysaaren uimaranta ja uimala",6773598,3564967
"Sotkamo","Hiukan uimaranta",7115015,3567421
"Kaavi","Kirkonkylän uimala",6986427,3574633
"Suomussalmi","Jätkänpuiston uimaranta",7199950,3591203
"Nurmes","Kantakaupungin uimala",7050639,3606217
"Juuka","Polvelan uimapaikka",7008451,3610319
"Kuusamo","Kelanrannan rantauimala",7321115,3599749
"Juuka","Niemislammen rantauimala",7016897,3610650
"Punkaharju","Punkasalmen uimala",6851572,3626239
"Juuka","Paalasmaan uimapaikka",7022866,3624707
"Parikkala","Likolammen rantauimala",6828863,3633585
"Kuhmo","Ruukinrannan rantauimala",7117019,3622923
"Rääkkylä","Rääkkylän rantauimala",6916778,3636299
"Saari","Saaren kirkonkylän rantauimala",6840879,3645659
"Pyhäselkä","Reijolan uimapaikka",6941309,3644758
"Pyhäselkä","Hammasjärven rantauimala",6930041,3654953
"Lieksa","Urheilupuiston uimala",7028160,3652125
"Närpiö","Töjby simplats",6961771,3199982
"Maalahti","Bergö friluftsområde",6998907,3204047
"Närpiö","Norrnäs simplats",6954064,3200747
"Närpiö","Fagerö simplats",6958844,3202720
"Närpiö","Eskilsö simplats",6933048,3201074
"Närpiö","Tjärlax simplats",6939480,3202046
"Mustasaari","Bulleråsens badplats",7020996,3209881
"Kaskinen","Marianrannan uimaranta",6934203,3202426
"Närpiö","Varvholmens simplats",6938373,3202869
"Mustasaari","Södra Vallgrunds badplats",7020390,3211926
"Mustasaari","Björköby badplats",7041607,3215294
"Kristiinankaupunki","Skoängenin uimapaikka",6902058,3203992
"Maalahti","Vägvik simstrand",6987735,3212205
"Uusikaupunki","Haimion uimapaikka",6766363,3193043
"Uusikaupunki","Karhuluodon uimaranta",6759944,3192564
"Närpiö","Skrattnäs simplats",6925893,3207290
"Närpiö","Klubbskatans simplats",6930508,3208438
"Kristiinankaupunki","Campingalueen uimapaikka",6919236,3207656
"Uusikaupunki","Pyhämaan uimapaikka",6773357,3195721
"Uusikaupunki","Eräistenkarin uimapaikka",6741650,3193190
"Uusikaupunki","Hiun uimapaikka",6759116,3195226
"Uusikaupunki","Santtion rantauimala",6757402,3195313
"Uusikaupunki","Raulion uimaranta",6767092,3196396
"Pori","Reposaaren uimapaikka",6847548,3204792
"Uusikaupunki","Lautveden uimapaikka",6751794,3196679
"Mustasaari","Replot badplats",7026901,3221185
"Rauma","Merirauman uimapaikka",6794936,3202258
"Pori","Kallon uimapaikka",6843904,3206596
"Merikarvia","Mericampingin uimaranta",6872524,3209199
"Rauma","Saharannan uimapaikka",6794169,3202666
"Rauma","Otanlahden maauimala",6793585,3202636
"Maalahti","Åminne simstrand",6997841,3220635
"Pori","Karhuluodon uimapaikka",6842421,3208069
"Uusikaupunki","Karparannan uimapaikka",6740259,3200703
"Uusikaupunki","Taipaleenjärven uimapaikka",6747258,3201565
"Vaasa","Kronvikin uimaranta",7006714,3223566
"Rauma","Monnan sorak. uimapaikka",6789500,3206286
"Karijoki","Myrkyn uimapaikka",6931861,3218391
"Uusikaupunki","Rohijärven uimapaikka",6760348,3204809
"Eurajoki","Lahdenperän uimaranta",6804628,3208626
"Vaasa","Leirintäalueen uimaranta",7011504,3226186
"Vaasa","Öjberget",7004285,3225601
"Vaasa","Mansikkasaaren uimaranta",7011707,3227076
"Vaasa","Paratiisisaari",7010123,3227113
"Vaasa","Hietasaaren talviuimala",7010525,3227326
"Vaasa","Hietasaari",7010480,3227325
"Vaasa","Vikingan uimaranta",7012922,3227537
"Vaasa","Isolahden uimaranta",7013409,3227955
"Rauma","Pitkäjärven uimaranta",6784500,3209093
"Närpiö","Pörtom utebassäng",6967602,3224576
"Vaasa","Kustaanlinnan uimala",7009227,3228174
"Pori","Ahlaisten uimapaikka",6851833,3215641
"Pori","Etelärannan uimapaikka",6834910,3214240
"Kristiinankaupunki","Pyhävuoren laskettelukeskus",6920176,3221439
"Kristiinankaupunki","Pyhävuoren kilpahiihtokeskus",6920096,3221602
"Mustasaari","Köklot badplats",7030587,3230865
"Kristiinankaupunki","Pyhävuoren uimapaikka",6919947,3221646
"Vaasa","Ahvensaari",7008282,3229337
"Pori","Lyttylän uimapaikka",6843074,3216376
"Merikarvia","Lankosken virksitysalue",6867777,3218895
"Uusikaupunki","Kaukjärven uimapaikka",6753222,3209759
"Mustasaari","Karperö badplats",7017549,3233541
"Maalahti","Törn utebassäng",6988154,3232276
"Karijoki","Peurajärven uimapaikka",6923179,3228700
"Siikainen","Otamon uimapaikka",6868988,3224325
"Pori","Maauimala",6829437,3221397
"Karkkila","Siikalan uimala",6723404,3347701
"Soini","Lauttosen ranta",6976011,3358700
"Inkoo","Stävö simplats",6663475,3345391
"Soini","Seurakunnan ranta",6975578,3358703
"Pyhäjoki","Ampumahiihtoalue",7152531,3366782
"Hattula","Kosken kyläranta",6768259,3350384
"Lohja","Nummenkylän uimapaikka",6692102,3347406
"Vihti","Myllylammen uimaranta",6692019,3347422
"Vihti","Varikkaan uimaranta",6698798,3347770
"Pyhäjoki","Kielosaaren uimapaikka",7154048,3367346
"Toholampi","Hiihtokeskus",7076838,3364375
"Valkeakoski","Hakalanrannan uimapaikka",6794364,3352402
"Tornio","Alaraumon uimapaikka",7309360,3374981
"Pyhäjoki","Parhalahden rantauimala",7160832,3368808
"Vihti","Rämäkän uimaranta",6697608,3349360
"Kangasala","Kautialan uimapaikka",6827929,3354820
"Hattula","Pelkolan kyläranta",6773350,3353154
"Pyhäjoki","Vauhtipakka",7155200,3369443
"Vihti","Hopeaniemen uimapaikka",6701412,3350437
"Vihti","Hiidenrannan uimaranta",6695864,3350445
"Tornio","Kantojärven uimapaikka",7323553,3377003
"Ähtäri","Myllymäen uimapaikka",6938551,3360899
"Soini","Kivijärven uimapaikka",6962625,3362250
"Pyhäjoki","Pirttikosken uimapaikka",7148562,3370106
"Sahalahti","Jauksan uimapaikka",6820473,3356426
"Vihti","Kirkonkylän uimaranta",6703074,3352263
"Orivesi","Teerijärven rantauimala",6842145,3358134
"Hattula","Suontaan kyläranta",6781165,3355799
"Hattula","Suotaalan-Lahdentaan kyläranta 1",6786210,3356501
"Suolahti","Suojärven uimala",6940146,3442723
"Rovaniemen mlk","Vaaralan uimapaikka",7380667,3450574
"Jyväskylän mlk","Janakan uimapaikka",6906546,3442488
"Laukaa","Pölkinahon uimapaikka",6926076,3442866
"Jyväskylän mlk","Uimalanniemen rantauimala",6904839,3442517
"Porvoo","Lindvikin uimapaikka",6698715,3439081
"Pyhäjärvi","Emolahden rantauimala",7062997,3445665
"Heinola","Vierumäen uimapaikka",6780562,3440981
"Myrskylä","Syväjärven rantauimala",6729657,3440375
"Porvoo","Virvikin uimapaikka",6692765,3440052
"Laukaa","Kuhajärven uimapaikka",6919683,3444367
"Tyrnävä","Uimapaikka suutarinjärvi",7170794,3448601
"Viitasaari","Kymönkosken uimapaikka",7001276,3445857
"Piippola","Paskokankaan maauimala",7122905,3448290
"Laukaa","Vuojärven uimapaikka ii/ Vuolake",6924094,3445188
"Laukaa","Vuojärven uimapaikka i/ Lemettilä",6923247,3445239
"Pyhäjärvi","Pyhäsalmen kuntorata",7064106,3447965
"Jyväskylän mlk","Leppälahden leirikeskuksen uimapaikka",6900746,3445474
"Laukaa","Kuhaniemen uimapaikka",6921498,3446189
"Jyväskylän mlk","Tervatehtaan uimapaikka",6903917,3446093
"Leivonmäki","Rutalahden vierasvenesatama",6876486,3445728
"Leivonmäki","Rautsillan uimapaikka",6876734,3445832
"Joutsa","Pappisten uimapaikka",6856128,3445609
"Laukaa","Rantapuiston uimapaikka",6923363,3446690
"Heinola","Hevossaaren uimaranta",6789839,3444625
"Pyhäjärvi","Kirkonkylän uimapaikka",7060059,3449451
"Rantsila","Uimapaikka (Järvitalonjärvi)",7153206,3451047
"Heinola","Myllykylän uimapaikka",6784399,3445219
"Pyhäjärvi","Uimapaikka lossinranta",7064661,3450358
"Lapinjärvi","Pyhäjärven uimapaikka",6733175,3445911
"Viitasaari","Kumpumäen uimapaikka",7010965,3450213
"Pyhäjärvi","Uimapaikka pumppuranta",7062542,3451094
"Heinola","Urheiluopiston uimapaikka",6779359,3446781
"Joutsa","Joutsenlammen uimapaikka",6853152,3448192
"Heinola","Kaivannon uimaranta",6789885,3447355
"Leivonmäki","Harjunlahden uimapaikka",6867481,3448755
"Heinola","Kylpylän rantauimala",6788587,3447738
"Heinola","Jyrängön uimaranta",6787348,3448469
"Pyhäjärvi","Rannan uimapaikka",7058050,3452719
"Muurla","Pullolan uimapaikka",6696617,3291100
"Ypäjä","Ypäjänkylän uimakulju",6756594,3294762
"Viljakkala","Paijalan uimaranta",6845943,3300493
"Viljakkala","Haverin uimaranta",6850449,3301165
"Nokia","Sarkolan uimaranta",6817762,3299687
"Somero","Kerkolan ranta",6725380,3294767
"Punkalaidun","Järvelän uimaranta",6776255,3297882
"Hämeenkyrö","Sirkkalan uimapaikka",6832479,3301146
"Punkalaidun","Kivirannan uimaranta",6777684,3298092
"Tammisaari","Vikstrand badplats",6667309,3291967
"Alavus","Jääskänjärven ranta",6951460,3308838
"Kihniö","Raskin ranta",6901652,3306319
"Muurla","Takapellon uimaranta",6700494,3295039
"Muurla","Pyölin uimapaikka",6699985,3295048
"Viljakkala","Kurjen uimaranta",6849950,3303923
"Somero","Pitkäjärven ranta",6734279,3297560
"Alavus","Hukkalan ranta",6958801,3310576
"Kälviä","Pirskerin uimapaikka",7098197,3318964
"Vesilahti","Rämsöön uimapaikka",6807675,3302939
"Hämeenkyrö","Miharin uimapaikka",6834924,3304804
"Ypäjä","Murskan uimala",6745277,3299974
"Tammisaari","Skogby simstrand",6651693,3295060
"Nokia","Siuron uimala",6824246,3304786
"Nokia","Linnavuoren uimala",6826139,3305423
"Nokia","Taulajärven uimaranta",6821111,3305351
"Alavus","Iso-allasjärven ranta",6946196,3312563
"Muurla","Piiljärven uimaranta",6700297,3298831
"Kisko","Lammijärven uimapaikka",6694763,3298766
"Pertteli","Hossuksen rantauimala",6705207,3299819
"Viljakkala","Nisun uimapaikka/Väinän ranta",6855966,3308908
"Tammisaari","Grabbskog simplats",6661551,3298166
"Tammisaari","Trollböle simplats",6653391,3297805
"Nokia","Pajulahden uimala",6815557,3306882
"Pertteli","Varvojärven uimapaikka",6707294,3301136
"Pertteli","Iso-Rytkön uimapaikka",6700234,3301009
"Kälviä","Klapurinjärven uimapaikka",7086122,3322878
"Nokia","Tupsuvuoren hiihtokeskus",6821346,3308105
"Nokia","Joenpohjan uimaranta",6810620,3307662
"Lohtaja","Harjukarin uimapaikka, Marinkainen",7099001,3323974
"Vesilahti","Krääkkiön uimapaikka",6797162,3307266
"Tammisaari","Västerby skidcentrum",6658615,3299699
"Kuortane","Salmen uimaranta",6978326,3317406
"Somero","Pusulanjärven ranta",6731175,3303915
"Lohtaja","Vattajan uimaranta, Ohtakarintie",7114136,3325568
"Tammisaari","Ramsholmens simplats",6655894,3300449
"Nokia","Riihilahden uimaranta",6817854,3309340
"Tammisaari","Siminrättningens badplats",6656868,3300923
"Tammisaari","Bajons simplats",6648058,3300378
"Kisko","Iso-Kiskon uimapaikka",6679758,3302268
"Viljakkala","Karhen uimaranta",6851943,3311818
"Urjala","Nuutajärven uimapaikka",6776171,3307776
"Tammisaari","Sjövik simplats",6658667,3301459
"Vimpeli","Uimapaikka/Sääksjärvi",7016704,3347461
"Nummi-Pusula","Vaherman uimaranta",6720982,3333829
"Lohja","Lasitehtaan uimala",6678891,3332033
"Lohja","Pähkinäniemen uimaranta",6680079,3332795
"Inkoo","Kby skidskytteområde",6664757,3332116
"Nummi-Pusula","Kirkonkylän uimaranta",6709995,3334190
"Lohja","Vohloisten uimaranta",6683449,3333008
"Lohja","Partioniemen leirikeskuksen uimaranta",6687429,3333322
"Ähtäri","Peränteen uimapaikka",6933790,3344808
"Tornio","Nivavaaran hiihtokeskus",7339988,3364258
"Kangasala","Halimajärven uimapaikka",6825330,3340025
"Inkoo","Björkuddens simplats",6661643,3333088
"Valkeakoski","Lotilan uimaranta",6800383,3339622
"Lohja","Paloniemen uimapaikka",6687690,3334624
"Helsinki","Aurinkopuisto/lasten kahluuallas",6678079,3386285
"Helsinki","Liuskasaaren venesatama",6672875,3386241
"Helsinki","Brahenpuisto/lasten kahluuallas",6676979,3386441
"Helsinki","Taivaskallio/kalliokiipeilyseinä",6680331,3386631
"Kinnula","Uimala",7031513,3397701
"Helsinki","Uunisaaren uimaranta",6672994,3386430
"Kivijärvi","Lahdenperän uimapaikka",7007391,3396971
"Helsinki","Kumpulan maauimala",6679208,3386972
