"Metsähallitus","Vongoiva  tulipaikka",7567508,3560644,"68.186284848","28.457789205"
"Metsähallitus","Naltiojoki tulipaikka sillankorva",7545129,3587572,"67.978805843","29.088246640"
"Metsähallitus","Vieriaapa tulipaikka",7547153,3586311,"67.997320031","29.059753199"
"Metsähallitus","Sudenpesä tulipaikka",7581403,3545105,"68.313705606","28.089205647"
"Metsähallitus","Rautulampi tulipaikka",7581089,3526906,"68.313190317","27.648015289"
"Metsähallitus","Siulanruoktu tulipaikka",7560991,3561000,"68.127799859","28.462645472"
"Metsähallitus","Helanderin Kotajärvi tulipaikka",7589331,3543627,"68.385000877","28.056679958"
"Metsähallitus","Aittajärvi alempi tulipaikka",7589978,3543969,"68.390747629","28.065266468"
"Metsähallitus","Suomujärvi tulipaikka",7590382,3545842,"68.394072422","28.110989964"
"Metsähallitus","Jyrkkävaara tulipaikka",7589404,3551611,"68.384315089","28.250807596"
"Metsähallitus","Sarvioja tulipaikka",7581497,3545996,"68.314405676","28.110840185"
"Metsähallitus","Karapulju tulipaikka",7563042,3540825,"68.149760701","27.978416663"
"Metsähallitus","Muorakanmutka tulipaikka",7585892,3551916,"68.352780886","28.256480964"
"Metsähallitus","Koirakarhakisto tulipaikka",7597154,3557328,"68.452677192","28.394039482"
"Metsähallitus","Könkäänoja tulipaikka",7596980,3557109,"68.451162055","28.388604351"
"Metsähallitus","Halti tulipaikka",7461855,3596606,"67.229865514","29.232253174"
"Metsähallitus","Ahmaoja tulipaikka",7588190,3561625,"68.371435474","28.493502000"
"Metsähallitus","Harrihaara tulipaikka",7563211,3538677,"68.151572967","27.926789055"
"Metsähallitus","Sarvijoensuu tulipaikka",7585048,3551676,"68.345259719","28.250239180"
"Metsähallitus","Muorravaarakanjoki tulipaikka",7571816,3550607,"68.226848890","28.217953816"
"Metsähallitus","Akanhärkäkuru tulipaikka",7572426,3552859,"68.231908984","28.272624872"
"Metsähallitus","Kultahamina tulipaikka",7619216,3453901,"68.652429197","25.861428117"
"Metsähallitus","Pajuoja tulipaikka",7597248,3456483,"68.455934234","25.934302820"
"Metsähallitus","Sallivaara tulipaikka",7600834,3454063,"68.487691718","25.873686955"
